"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"11","cover + year + site",11,935.475260614887,0,1,0.942794104307842,-456.090571483914,0.942794104307842
"13","year + site + year*site + cover",18,942.135067435245,6.65980682035763,0.0357965624842464,0.0337487880646348,-451.331493108485,0.976542892372477
"18","year + cover + cover*year",5,943.919182288897,8.44392167400952,0.0146698510976516,0.0138306491259399,-466.816734001591,0.990373541498416
"9","cover + year",4,944.64392564823,9.16866503334245,0.0102105628941877,0.00962645849830455,-468.227176094257,0.999999999996721
"4","cover",3,988.881247051711,53.4059864368238,2.52951579112788e-12,2.38481257462896e-12,-491.384019752271,0.999999999999106
"16","site + cover + cover*site",17,992.121121685862,56.6458610709748,5.00619263671702e-13,4.71980890292614e-13,-477.515106297477,0.999999999999578
"7","cover + site",10,992.344370813613,56.869110198726,4.4774384554251e-13,4.221302578176e-13,-485.635600040953,1
"10","rugosity + year + site",11,1055.56699798375,120.091737368859,8.3639334633341e-27,7.88546715805446e-27,-516.136440168344,1
"12","year + site + year*site",17,1056.22800548857,120.752744873686,6.01000195594995e-27,5.66619441094821e-27,-509.568548198832,1
"15","site + rugosity + rugosity*site",17,1058.31354543958,122.838284824697,2.11838731448734e-27,1.99720307073918e-27,-510.611318174338,1
"14","year + site + year*site + rugosity",18,1058.52568956514,123.050428950249,1.90519246641616e-27,1.79620422490887e-27,-509.526804173431,1
"2","site",9,1060.1700460116,124.694785396713,8.37281296814776e-28,7.89383870284195e-28,-520.648129801916,1
"5","year + site",10,1060.34455199278,124.869291377893,7.67322437477802e-28,7.23427070157195e-28,-519.635690630536,1
"6","rugosity + site",10,1060.81268158089,125.337420966002,6.07190333901694e-28,5.72455466995227e-28,-519.869755424591,1
"8","rugosity + year",4,1129.53915358975,194.063892974861,7.23704165216212e-43,6.82304020228873e-43,-560.674790065017,1
"17","year + rugosity + rugosity*year",5,1130.86991523771,195.394654622824,3.72040185255783e-43,3.5075729322475e-43,-560.292100475999,1
"3","rugosity",3,1136.82923538145,201.353974766567,1.8903400026129e-44,1.78220140960071e-44,-565.358013917142,1
"1","year",3,1171.82126924104,236.346008626157,4.76558606197209e-52,4.49296644279891e-52,-582.854030846937,1
