"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"16","year + site + year*site",17,864.781489713335,0,1,0.346022653780401,-413.294854445709,0.346022653780401
"19","year + site + year*site + coralrichness",18,866.039831633873,1.25834192053776,0.533033523847994,0.184441674475802,-412.661295127281,0.530464328256203
"18","year + site + year*site + rugosity",18,866.157821490308,1.37633177697342,0.502496859667317,0.173875296898403,-412.720290055499,0.704339625154606
"17","year + site + year*site + cover",18,866.423941652103,1.64245193876832,0.439892029631136,0.152212607469813,-412.853350136396,0.856552232624419
"13","rugosity + year + site",11,867.604434853926,2.82294514059129,0.24378402958477,0.0843547968662021,-421.933796374332,0.940907029490621
"14","cover + year + site",11,868.93128103699,4.14979132365522,0.125569528504829,0.0434499014871948,-422.597219465864,0.984356930977816
"15","coralrichness + year + site",11,871.55344955677,6.77195984343484,0.0338444611683381,0.0117109502692361,-423.908303725753,0.996067881247052
"6","year + site",10,873.736200192121,8.95471047878596,0.0113634269915337,0.00393200316365034,-426.149145847694,0.999999884410702
"9","coralrichness + site",10,895.294637312748,30.5131475994131,2.36675981073143e-07,8.18952510570089e-08,-436.928364408008,0.999999966305953
"2","site",9,898.305326691,33.5238369776652,5.25280518637879e-08,1.81758959038224e-08,-439.568247761084,0.999999984481849
"7","rugosity + site",10,900.111996728825,35.3305070154896,2.12852071023864e-08,7.36516384783319e-09,-439.337044116046,0.999999991847013
"8","cover + site",10,900.345081915621,35.5635922022858,1.8943668049127e-08,6.55493829069394e-09,-439.453586709444,0.999999998401951
"20","site + rugosity + rugosity*site",17,903.738639763565,38.9571500502302,3.47186117497075e-09,1.20134261732052e-09,-432.773429470824,0.999999999603294
"22","site + coralrichness + coralrichness*site",17,906.309642484023,41.5281527706877,9.60010988340785e-10,3.32185549844024e-10,-434.058930831052,0.999999999935479
"21","site + cover + cover*site",17,909.587057396893,44.8055676835577,1.8646382904784e-10,6.45207089611887e-11,-435.697638287487,1
"11","cover + year",4,969.709387499377,104.927897786042,1.64133222738319e-23,5.67938133054428e-24,-480.728907586167,1
"24","year + cover + cover*year",5,970.546018026682,105.764528313347,1.0802505253902e-23,3.73791153543188e-24,-480.083135595619,1
"4","cover",3,972.15026410544,107.368774392105,4.84358445161723e-24,1.67598994575808e-24,-483.00013205272,1
"12","coralrichness + year",4,982.678689630823,117.897199917488,2.5058110613067e-26,8.67067393305628e-27,-487.21355865189,1
"25","year + coralrichness + coralrichness*year",5,983.910233123889,119.128743410554,1.35369882005978e-26,4.68410458136484e-27,-486.765243144223,1
"10","rugosity + year",4,988.751733797789,123.970244084454,1.20282802133263e-27,4.16205743982947e-28,-490.250080735372,1
"23","year + rugosity + rugosity*year",5,988.912284969887,124.130795256552,1.11004425351715e-27,3.84100458415689e-28,-489.266269067222,1
"1","year",3,989.790675455783,125.009185742448,7.1548448784256e-28,2.47573841221994e-28,-491.820337727892,1
"5","coralrichness",3,993.44810523955,128.666615526215,1.14921010450362e-28,3.97652730111596e-29,-493.649052619775,1
"3","rugosity",3,994.667275711251,129.885785997916,6.24683351565774e-29,2.16154591081225e-29,-494.258637855625,1
