"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"29","log(cover) + site + year",11,946.322097099555,0,1,0.640130981938357,-461.513989726248,0.640130981938357
"28","log(cover) + year",4,948.402268044954,2.08017094539957,0.35342447252392,0.226237954637783,-470.106347292619,0.86636893657614
"32","log(cover) + year + log(cover)*year",5,950.23056411574,3.908467016185,0.141673026315798,0.0906892934497107,-469.972424915013,0.957058230025851
"11","cover + year + site",11,952.661576145265,6.33947904570971,0.0420145403057743,0.026894808941624,-464.683729249103,0.983953038967475
"13","year + site + year*site + cover",18,954.018474707747,7.69637760819171,0.0213183131342868,0.0136465127199204,-457.273196744736,0.997599551687395
"30","log(cover) + site + year + year*site",18,957.614783377661,11.2926862781059,0.00353040339256071,0.0022599205903184,-459.071351079693,0.999859472277714
"18","year + cover + cover*year",5,964.074028092212,17.751930992657,0.000139706677173157,8.94305724421983e-05,-476.894156903249,0.999948902850156
"9","cover + year",4,965.19379510737,18.8716980078156,7.98110171185755e-05,5.10895047576128e-05,-478.502110823827,0.999999992354914
"34","power(cover)",3,983.358239379094,37.0361422795396,9.07201769215194e-09,5.80727959343937e-09,-488.622515915962,0.999999998162193
"26","log(cover)",3,985.997464255066,39.6753671555114,2.42439560722328e-09,1.55193074065888e-09,-489.942128353948,0.999999999714124
"27","log(cover) + site",10,989.429460320752,43.1073632211976,4.35868026201342e-10,2.79012627607799e-10,-484.178144794523,0.999999999993136
"31","log(cover) + site + log(cover)*site",17,997.779890585216,51.457793485661,6.70011287384833e-12,4.28894983303436e-12,-480.344490747153,0.999999999997425
"16","site + cover + cover*site",17,999.687719919366,53.3656228198115,2.58108462021113e-12,1.65223223240174e-12,-481.298405414229,0.999999999999078
"7","cover + site",10,1001.64517885767,55.3230817581126,9.69941262804697e-13,6.20889452981701e-13,-490.28600406298,0.999999999999699
"4","cover",3,1003.09032005867,56.7682229591146,4.70909021637532e-13,3.01443454424464e-13,-498.48855625575,1
"22","log(rugosity) + site + year",11,1050.46946106801,104.147363968454,2.42486330720115e-23,1.55223012990496e-23,-513.587671710475,1
"10","rugosity + year + site",11,1052.46187281185,106.139775712296,8.95448367134327e-24,5.73204242528795e-24,-514.583877582396,1
"12","year + site + year*site",17,1053.25663225819,106.93453515864,6.01811840127926e-24,3.85238404163219e-24,-508.082861583643,1
"15","site + rugosity + rugosity*site",17,1054.22024708435,107.89814998479,3.71718714877307e-24,2.37948665959275e-24,-508.564668996718,1
"24","log(rugosity) + site + log(rugosity)*site",17,1054.43716402694,108.115066927389,3.33512035830262e-24,2.13491386984286e-24,-508.673127468018,1
"23","log(rugosity) + site + year + year*site",18,1055.42489223294,109.102795133383,2.03530292470597e-24,1.30286045973405e-24,-507.976405507332,1
"14","year + site + year*site + rugosity",18,1055.59793920022,109.27584210067,1.86660482959598e-24,1.19487158246016e-24,-508.062928990975,1
"20","log(rugosity) + site",10,1056.09236304191,109.770265942357,1.4577720261255e-24,9.33165038525983e-25,-517.509596155102,1
"2","site",9,1056.51931281765,110.197215718091,1.17754807348202e-24,7.53785004557665e-25,-518.82276320494,1
"5","year + site",10,1056.6967608521,110.374663752544,1.07757199297003e-24,6.89787217969177e-25,-517.811795060196,1
"6","rugosity + site",10,1057.35832792441,111.036230824858,7.74085318713206e-25,4.95515995171951e-25,-518.142578596353,1
"21","log(rugosity) + year",4,1114.99880113822,168.676704038663,2.35678033193073e-37,1.50864810809183e-37,-553.404613839251,1
"25","log(rugosity) + year + log(rugosity)*year",5,1116.06689969234,169.744802592784,1.38160676507287e-37,8.84409295178776e-38,-552.890592703312,1
"19","log(rugosity)",3,1122.87348478319,176.551387683631,4.59571700985536e-39,2.94186084222952e-39,-558.380138618008,1
"8","rugosity + year",4,1124.66756223222,178.345465132662,1.87402038289801e-39,1.199618507877e-39,-558.238994386251,1
"33","power(rugosity)",3,1125.24970643056,178.927609331009,1.40075861996217e-39,8.96668990855002e-40,-559.568249441697,1
"17","year + rugosity + rugosity*year",5,1126.1407058235,179.818608723942,8.97191692983008e-40,5.7432019941615e-40,-557.927495768891,1
"3","rugosity",3,1131.70790092987,185.385803830319,5.54605518520781e-41,3.55020175159139e-41,-562.797346691352,1
"1","year",3,1165.13122424888,218.809127149328,3.06338614979282e-48,1.96096838412324e-48,-579.509008350857,1
