"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"19","year + site + year*site + coralrichness",18,1000.20087371323,0,1,0.584902441205172,-479.741816166962,0.584902441205172
"15","coralrichness + year + site",11,1002.11750593449,1.91663222125783,0.383538178384108,0.22433241683225,-489.190331914615,0.809234858037422
"44","log(coralrichness) + site + year + year*site",18,1003.37713930604,3.17626559280063,0.204306738080022,0.119499509857671,-481.329948963362,0.928734367895093
"43","log(coralrichness) + site + year",11,1005.17250920784,4.97163549460447,0.0832574431174237,0.0486974817278819,-490.717833551288,0.977431849622974
"9","coralrichness + site",10,1006.96778416938,6.76691045614507,0.0339300160188136,0.0198457491995347,-492.764937836324,0.997277598822509
"41","log(coralrichness) + site",10,1011.3781559743,11.1772822610662,0.00374010672998731,0.00218759755673747,-494.970123738784,0.999465196379246
"22","site + coralrichness + coralrichness*site",17,1014.51174218327,14.3108684700404,0.000780610513345806,0.000456580994886384,-488.159980680679,0.999921777374133
"45","log(coralrichness) + site + log(coralrichness)*site",17,1018.04108784696,17.840214133729,0.000133673931976439,7.81862091385134e-05,-489.924653512523,0.999999963583271
"36","log(cover) + site + year",11,1033.79512447663,33.5942507633966,5.07108785807322e-08,2.96609166775293e-08,-505.029141185684,0.999999993244188
"37","log(cover) + site + year + year*site",18,1037.82748630132,37.6266125880826,6.75281559370357e-09,3.94973832576557e-09,-498.555122461003,0.999999997193926
"14","cover + year + site",11,1039.32088155084,39.1200078376033,3.20035556643783e-09,1.87189578353405e-09,-507.792019722787,0.999999999065822
"17","year + site + year*site + cover",18,1040.95676540191,40.7558916886775,1.41244181830231e-09,8.26140667585296e-10,-500.119762011301,0.999999999891963
"16","year + site + year*site",17,1046.70343616244,46.5025624492104,7.98172695404184e-11,4.6685315804522e-11,-504.255827670263,0.999999999938648
"29","log(rugosity) + site + year",11,1048.28099330239,48.0801195891516,3.62689252653838e-11,2.12137829276109e-11,-512.272075598562,0.999999999959862
"30","log(rugosity) + site + year + year*site",18,1048.63067589256,48.4298021793287,3.0451036295331e-11,1.78108854663664e-11,-503.956717256626,0.999999999977673
"18","year + site + year*site + rugosity",18,1049.00283654786,48.8019628346273,2.52806605582506e-11,1.47867200758001e-11,-504.142797584276,0.99999999999246
"13","rugosity + year + site",11,1050.56151145964,50.3606377464017,1.15964874094686e-11,6.78281379520323e-12,-513.412334677187,0.999999999999242
"34","log(cover) + site",10,1055.73599803075,55.5351243175136,8.72370514971644e-13,5.10251643842328e-13,-517.149044767008,0.999999999999753
"6","year + site",10,1058.22222900553,58.021355292295,2.51664977531544e-13,1.47199459724045e-13,-518.392160254399,0.9999999999999
"8","cover + site",10,1061.01265702504,60.8117833118048,6.23575489770643e-14,3.6473082624256e-14,-519.787374264154,0.999999999999936
"38","log(cover) + site + log(cover)*site",17,1062.97824770219,62.7773739889532,2.33381509285052e-14,1.36505414512975e-14,-512.393233440135,0.99999999999995
"31","log(rugosity) + site + log(rugosity)*site",17,1063.41661114962,63.2157374363832,1.87446368478456e-14,1.09637838518093e-14,-512.61241516385,0.999999999999961
"27","log(rugosity) + site",10,1063.68876626359,63.487892550355,1.63598493015124e-14,9.56891579420334e-15,-521.125428883429,0.99999999999997
"2","site",9,1063.75121593283,63.5503422195992,1.58569086941291e-14,9.27474460516364e-15,-522.291192382001,0.99999999999998
"20","site + rugosity + rugosity*site",17,1063.76609727345,63.5652235602182,1.57393605253164e-14,9.20599039426586e-15,-512.787158225767,0.999999999999989
"21","site + cover + cover*site",17,1064.80209399856,64.6012202853295,9.37612207079464e-15,5.48411668824548e-15,-513.305156588323,0.999999999999994
"7","rugosity + site",10,1065.18763319348,64.9867594802489,7.73222495375154e-15,4.52259725139683e-15,-521.874862348376,0.999999999999999
"12","coralrichness + year",4,1070.05573399459,69.8548602813572,6.77968979005332e-16,3.96545710881597e-16,-530.902080833774,0.999999999999999
"25","year + coralrichness + coralrichness*year",5,1072.15649469716,71.9556209839212,2.3715671846185e-16,1.38713543576544e-16,-530.888373930856,1
"28","log(rugosity) + year",4,1072.18802861859,71.9871549053581,2.33446801709475e-16,1.36543604211412e-16,-531.968228145774,1
"5","coralrichness",3,1072.22171813795,72.0208444247202,2.2954738104169e-16,1.34262823543538e-16,-533.035859068977,1
