"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"7","rugosity + site",10,1162.48140870941,0,1,0.155450872749527,-570.704118988853,0.155450872749527
"6","year + site",10,1163.03398818059,0.552579471174568,0.758593107497958,0.117923960622334,-570.98040872444,0.273374833371861
"27","log(rugosity) + site",10,1163.14397683393,0.662568124516838,0.718001183031979,0.111613910537514,-571.035403051111,0.384988743909375
"2","site",9,1163.19478783002,0.713379120610171,0.699989768618326,0.108814020447458,-572.160500711128,0.493802764356834
"13","rugosity + year + site",11,1164.28300650931,1.80159779989481,0.406244980971011,0.0631511368420588,-570.494444431125,0.556953901198892
"29","log(rugosity) + site + year",11,1164.6331400353,2.15173132588347,0.341002434324786,0.0530091260255014,-570.669511194119,0.609963027224394
"34","log(cover) + site",10,1164.98562475366,2.50421604424423,0.285901474542131,0.0444436337379511,-571.956227010975,0.654406660962345
"14","cover + year + site",11,1164.9951211502,2.51371244078405,0.284547175440105,0.0442331067605772,-570.850501751569,0.698639767722922
"43","log(coralrichness) + site + year",11,1165.22018623219,2.73877752278008,0.254262327015997,0.0395253006419624,-570.963034292567,0.738165068364884
"36","log(cover) + site + year",11,1165.25204732013,2.77063861071815,0.250243882820556,0.0389006299846859,-570.978964836536,0.77706569834957
"15","coralrichness + year + site",11,1165.25373410832,2.77232539890224,0.250032917584137,0.0388678352545648,-570.979808230628,0.815933533604135
"8","cover + site",10,1165.26771112166,2.7863024122455,0.248291652380052,0.0385971540589013,-572.097270194976,0.854530687663036
"41","log(coralrichness) + site",10,1165.28917417223,2.80776546282095,0.245641350559567,0.0381851623278572,-572.108001720263,0.892715849990894
"9","coralrichness + site",10,1165.36097563877,2.87956692935245,0.236979067465941,0.0368386028609496,-572.143902453529,0.929554452851843
"22","site + coralrichness + coralrichness*site",17,1167.25696207454,4.77555336512432,0.0918336323886217,0.0142756183025705,-565.083026491814,0.943830071154414
"17","year + site + year*site + cover",18,1167.43963898618,4.95823027677079,0.0838173595523163,0.0130294816939685,-563.983778883955,0.956859552848382
"45","log(coralrichness) + site + log(coralrichness)*site",17,1167.7994301482,5.31802143878849,0.0700174544034513,0.0108842743947167,-565.354260528646,0.967743827243099
"16","year + site + year*site",17,1168.24760423119,5.7661955217734,0.055961139821573,0.00869920802532185,-565.578347570139,0.976443035268421
"37","log(cover) + site + year + year*site",18,1169.88359338636,7.40218467694262,0.0246965347559572,0.00383909788170259,-565.205756084041,0.980282133150123
"31","log(rugosity) + site + log(rugosity)*site",17,1170.05862223007,7.57721352065391,0.0226271048805965,0.00351740320148381,-566.483856569579,0.983799536351607
"44","log(coralrichness) + site + year + year*site",18,1170.17219399668,7.69078528726914,0.0213780059750624,0.00332322968646805,-565.350056389204,0.987122766038075
"19","year + site + year*site + coralrichness",18,1170.43520494083,7.9537962314148,0.0187436900155891,0.00291372297146993,-565.481561861277,0.990036489009545
"18","year + site + year*site + rugosity",18,1170.53979386149,8.05838515208143,0.0177886871689241,0.00276526694547757,-565.53385632161,0.992801755955023
"30","log(rugosity) + site + year + year*site",18,1170.57987462762,8.0984659182111,0.0174357434398732,0.00271040153476514,-565.553896704675,0.995512157489788
"20","site + rugosity + rugosity*site",17,1170.8900449442,8.40863623478435,0.0149309637631853,0.00232103134797873,-566.899567926644,0.997833188837767
"38","log(cover) + site + log(cover)*site",17,1171.51747484092,9.03606613150964,0.0109104627398144,0.00169604095500535,-567.213282875007,0.999529229792772
"21","site + cover + cover*site",17,1174.0808385846,11.5994298751873,0.003028417910439,0.000470770207228043,-568.494964746846,1
"32","log(rugosity) + year + log(rugosity)*year",5,1247.86976368288,85.3883549734708,2.87180077329929e-19,4.46423936572143e-20,-618.792024698585,1
"28","log(rugosity) + year",4,1249.41647175752,86.9350630481026,1.325228957781e-19,2.06007998080003e-20,-620.6134491489,1
"26","log(rugosity)",3,1254.02564643927,91.5442377298559,1.32257817555345e-20,2.05595931669261e-21,-623.95621944605,1
"47","power(rugosity)",3,1257.29047879834,94.809070088929,2.58506824606422e-21,4.01851114967773e-22,-625.588635625586,1
"23","year + rugosity + rugosity*year",5,1258.49498536503,96.0135766556159,1.41552236436494e-21,2.20044186937005e-22,-624.104635539657,1
"10","rugosity + year",4,1258.82082070085,96.339411991436,1.2027143456777e-21,1.86962994703975e-22,-625.315623620567,1
"3","rugosity",3,1263.84826973678,101.36686102737,9.73791106731773e-23,1.51376677417182e-23,-628.867531094807,1
"48","power(cover)",3,1278.92507358823,116.443664878818,5.18297895306577e-26,8.05698601696506e-27,-636.40593302053,1
"35","log(cover) + year",4,1279.65667316755,117.175264458135,3.5951301327433e-26,5.5886611678307e-27,-635.733549853917,1
"33","log(cover)",3,1281.45718376764,118.975775058227,1.46129771779174e-26,2.27160005577619e-27,-637.671988110235,1
"39","log(cover) + year + log(cover)*year",5,1281.62579214541,119.144383435999,1.34315416148218e-26,2.08794486639565e-27,-635.670038929849,1
"11","cover + year",4,1287.43878309917,124.957374389757,7.34261766350864e-28,1.14141632405851e-28,-639.624604819727,1
"24","year + cover + cover*year",5,1288.96413340645,126.482724697041,3.42472184511988e-28,5.32375999748257e-29,-639.33920956037,1
"4","cover",3,1289.83185778978,127.350449080366,2.21922506172663e-28,3.44980472673029e-29,-641.859325121305,1
"12","coralrichness + year",4,1340.88905020454,178.407641495129,1.81665678256637e-39,2.82400882336291e-40,-666.349738372414,1
"5","coralrichness",3,1341.21417155382,178.732762844405,1.54409380542386e-39,2.40030729660278e-40,-667.550482003324,1
"49","power(coralrichness)",3,1342.85808173857,180.376673029157,6.78739492979163e-40,1.05510646553183e-40,-668.3724370957,1
"25","year + coralrichness + coralrichness*year",5,1342.97966177486,180.498253065447,6.38707991757631e-40,9.92877147508216e-41,-666.346973744573,1
"42","log(coralrichness) + year",4,1344.76442377777,182.283015068359,2.61665343279399e-40,4.06761059810873e-41,-668.287425159028,1
"40","log(coralrichness)",3,1344.91903178818,182.437623078763,2.42199645237649e-40,3.76501462318184e-41,-669.402912120503,1
"46","log(coralrichness) + year + log(coralrichness)*year",5,1346.753365098,184.271956388586,9.67950359497572e-41,1.50468728162116e-41,-668.233825406143,1
"1","year",3,1392.24930752899,229.767898819578,1.27801135374838e-50,1.9866798032399e-51,-693.068049990911,1
