"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"16","year + site + year*site",17,867.624071870516,0,1,0.201092468534082,-414.716145524299,0.201092468534082
"30","log(rugosity) + site + year + year*site",18,867.892850699809,0.26877882929341,0.874249552726774,0.175805000672644,-413.587804660249,0.376897469206726
"29","log(rugosity) + site + year",11,867.922303780323,0.298231909807328,0.861469217527147,0.173234971518658,-422.09273083753,0.550132440725384
"18","year + site + year*site + rugosity",18,868.344549252179,0.720477381663159,0.697509817001473,0.140263970927582,-413.813653936434,0.690396411652966
"44","log(coralrichness) + site + year + year*site",18,869.659986109316,2.03591423880039,0.36133234553985,0.0726612133258183,-414.471372365003,0.763057624978784
"19","year + site + year*site + coralrichness",18,870.034356976882,2.41028510636659,0.299649280509646,0.0602572135121462,-414.658557798786,0.82331483849093
"37","log(cover) + site + year + year*site",18,870.12128771255,2.49721584203428,0.286903911901765,0.0576942158764107,-414.70202316662,0.881009054367341
"17","year + site + year*site + cover",18,870.146888361415,2.52281649089957,0.28325485314064,0.0569604176423102,-414.714823491053,0.937969472009651
"13","rugosity + year + site",11,870.319326918072,2.6952550475562,0.259856032162844,0.0522550909710981,-423.291242406404,0.990224562980749
"36","log(cover) + site + year",11,875.41076540953,7.78669353901387,0.0203770345524198,0.00409766817955038,-425.836961652133,0.9943222311603
"14","cover + year + site",11,876.845303308661,9.22123143814542,0.00994569266953781,0.00200000389019868,-426.554230601699,0.996322235050498
"43","log(coralrichness) + site + year",11,877.273934069568,9.64986219905256,0.00802710692281172,0.00161419074629523,-426.768545982153,0.997936425796794
"6","year + site",10,878.073594761913,10.4495228913971,0.0053816436210279,0.00108220800052319,-428.31784313259,0.999018633797317
"15","coralrichness + year + site",11,878.269346503795,10.645274633279,0.0048798669851035,0.00098130449815243,-427.266252199266,0.999999938295469
"41","log(coralrichness) + site",10,900.081692864272,32.4576209937562,8.95193980753293e-08,1.80016767406531e-08,-439.32189218377,0.999999956297146
"9","coralrichness + site",10,900.566429846102,32.942357975586,7.02518645257471e-08,1.41271208566044e-08,-439.564260674685,0.999999970424267
"2","site",9,901.275280730616,33.6512088600997,4.92870518649469e-08,9.9112549262895e-09,-441.053224780892,0.999999980335522
"8","cover + site",10,902.288073201258,34.6640013307425,2.97035085424857e-08,5.97315185693164e-09,-440.425082352263,0.999999986308674
"7","rugosity + site",10,903.377551285478,35.7534794149625,1.7227830516478e-08,3.46438696604536e-09,-440.969821394373,0.999999989773061
"27","log(rugosity) + site",10,903.427488214282,35.8034163437662,1.68030037498838e-08,3.37895750285156e-09,-440.994789858775,0.999999993152018
"34","log(cover) + site",10,903.465356162558,35.8412842920424,1.64878490915843e-08,3.3155822746441e-09,-441.013723832913,0.9999999964676
"31","log(rugosity) + site + log(rugosity)*site",17,904.900857491307,37.2767856207906,8.04357009701796e-09,1.61750136663627e-09,-433.354538334694,0.999999998085102
"20","site + rugosity + rugosity*site",17,905.199661922074,37.5755900515578,6.92730474016703e-09,1.39302881048803e-09,-433.503940550078,0.999999999478131
"38","log(cover) + site + log(cover)*site",17,908.419544427531,40.7954725570148,1.38476376518677e-09,2.78465563877957e-10,-435.113881802806,0.999999999756596
"21","site + cover + cover*site",17,909.664200593245,42.0401287227288,7.43193732668773e-10,1.49450662301422e-10,-435.736209885663,0.999999999906047
"22","site + coralrichness + coralrichness*site",17,911.920191051586,44.2961191810706,2.40558072331397e-10,4.83744165909209e-11,-436.864205114834,0.999999999954421
"45","log(coralrichness) + site + log(coralrichness)*site",17,912.039244572695,44.4151727021789,2.26656298113555e-10,4.55788744964515e-11,-436.923731875388,1
"11","cover + year",4,972.621843844718,104.997771974202,1.58497899006497e-23,3.18727337686821e-24,-482.185135758837,1
"24","year + cover + cover*year",5,972.999040846154,105.374968975638,1.31255110391783e-23,2.6394414156397e-24,-481.309647005355,1
"4","cover",3,973.852786564824,106.228714694308,8.56500644882183e-24,1.72235828980391e-24,-483.851393282412,1
"35","log(cover) + year",4,975.742140532672,108.118068662156,3.33011853940906e-24,6.69661757600878e-25,-483.745284102814,1
"39","log(cover) + year + log(cover)*year",5,977.74983447747,110.125762606954,1.22037834360793e-24,2.45408893661653e-25,-483.685043821013,1
"33","log(cover)",3,978.180361835467,110.556289964951,9.84026205559597e-25,1.97880258778205e-25,-486.015180917733,1
"48","power(cover)",3,980.090215201196,112.46614333068,3.78692998125686e-25,7.61523098096666e-26,-486.970107600598,1
"12","coralrichness + year",4,989.422230374319,121.798158503803,3.56341109526886e-27,7.16575133549352e-28,-490.585329023637,1
"25","year + coralrichness + coralrichness*year",5,990.310362346573,122.686290476057,2.2856541713652e-27,4.5962783953505e-28,-489.965307755565,1
"42","log(coralrichness) + year",4,990.56416105327,122.940089182754,2.01325520983242e-27,4.04850459934302e-28,-491.156294363113,1
"46","log(coralrichness) + year + log(coralrichness)*year",5,991.809243905185,124.185172034669,1.08027052243299e-27,2.17234266040652e-28,-490.714748534871,1
"5","coralrichness",3,999.613854126767,131.989782256251,2.18163930439212e-29,4.38711233171189e-30,-496.731927063384,1
"32","log(rugosity) + year + log(rugosity)*year",5,999.713958447805,132.089886577289,2.07513125723874e-29,4.17293267050371e-30,-494.667105806181,1
"10","rugosity + year",4,999.774690925465,132.150619054949,2.01306446271779e-29,4.04812102126156e-30,-495.76155929921,1
"23","year + rugosity + rugosity*year",5,999.821308942533,132.197237072018,1.96668456061224e-29,3.95485453121382e-30,-494.720781053545,1
"28","log(rugosity) + year",4,999.920397215582,132.296325345066,1.87162123208273e-29,3.76368933720317e-30,-495.834412444269,1
"1","year",3,1000.08839714679,132.464325276272,1.72082711953947e-29,3.46045373388586e-30,-496.969198573394,1
"40","log(coralrichness)",3,1000.10766096843,132.48358909791,1.70433183427505e-29,3.42728295755589e-30,-496.978830484213,1
"49","power(coralrichness)",3,1000.31169547109,132.687623600577,1.53903546155709e-29,3.09488440126005e-30,-497.080847735547,1
"3","rugosity",3,1005.03763484374,137.413562973226,1.44885168776229e-30,2.91353162431889e-31,-499.443817421871,1
"26","log(rugosity)",3,1005.52991189505,137.905840024537,1.13273241191321e-30,2.27783956900193e-31,-499.689955947527,1
"47","power(rugosity)",3,1005.62878402888,138.00471215836,1.07809620302292e-30,2.167970267831e-31,-499.739392014438,1
