"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr_site",11,1071.2980638017,0,1,0.969439710859202,-523.780610848218,0.969439710859202
"r_yr_site",11,1079.72643959718,8.42837579548359,0.01478432327552,0.014332510081469,-527.99479874596,0.983772220940671
"cc_yr_site_yrxsite",18,1081.7955933389,10.4975295371969,0.00525400430366003,0.00509344041299318,-520.539175979793,0.988865661353664
"cc_site",10,1083.03578485923,11.7377210575351,0.0028260917502705,0.00273972556924381,-530.798938181251,0.991605386922908
"yr_site",10,1083.10928861427,11.8112248125681,0.00272411300587909,0.00264086332476722,-530.835690058768,0.994246250247675
"sc_yr_site",11,1084.52009706395,13.2220332622528,0.00134546361369271,0.00130434585662984,-530.391627479345,0.995550596104305
"yr_site_yrxsite",17,1084.78550573581,13.4874419341133,0.00117825474258805,0.00114224693697304,-523.296862456948,0.996692843041278
"site",9,1084.83433853012,13.5362747284246,0.00114983438018109,0.00111469510905872,-532.832753680646,0.997807538150336
"sc_yr_site_yrxsite",18,1085.706155124,14.4080913222988,0.000743571476770566,0.000720847717443607,-522.494456872344,0.99852838586778
"sc_site",10,1086.0043008365,14.7062370347985,0.000640591546307391,0.000621014883431086,-532.283196169883,0.999149400751211
"r_site",10,1086.48058823126,15.1825244295605,0.000504843430800084,0.000489415269584001,-532.521339867264,0.999638816020795
"r_yr_site_yrxsite",18,1087.20645883947,15.9083950377662,0.000351184960996859,0.000340452647046895,-523.244608730078,0.999979268667842
"r_yr",4,1092.83676263067,21.5386988289681,2.10344410325447e-05,2.0391622432675e-05,-542.292595151812,0.999999660290275
"cc_yr",4,1101.14464703324,29.8465832315412,3.3029104528511e-07,3.20197255440581e-07,-546.446537353098,0.99999998048753
"r",3,1106.75708994418,35.4590261424844,1.99604490016752e-08,1.93504519088039e-08,-550.303544972092,0.999999999837982
"cc",3,1116.32261853442,45.0245547327165,1.6712528647726e-10,1.62017889399776e-10,-555.086309267208,1
"yr",3,1150.36946590589,79.0714021041938,6.75870039151025e-18,6.55215255332967e-18,-572.109732952947,1
"sc_yr",4,1151.50874465994,80.2106808582428,3.82359563178408e-18,3.70674544371927e-18,-571.628586166449,1
"sc",3,1153.81752666292,82.5194628612232,1.20538647695168e-18,1.16854951768963e-18,-573.833763331461,1
