"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_yr_site",11,1079.72643959718,0,1,0.725166079433869,-527.99479874596,0.725166079433869
"yr_site",10,1083.10928861427,3.38284901708448,0.184256861481763,0.13361682584952,-530.835690058768,0.858782905283389
"yr_site_yrxsite",17,1084.78550573581,5.05906613862976,0.0796962242119675,0.0577929984574751,-523.296862456948,0.916575903740864
"site",9,1084.83433853012,5.107898932941,0.077773893248465,0.0563989892492977,-532.832753680646,0.972974892990162
"r_site",10,1086.48058823126,6.75414863407696,0.0341472126516612,0.0247624003221998,-532.521339867264,0.997737293312362
"r_yr",4,1092.83676263067,13.1103230334845,0.00142275305000762,0.00103173225127661,-542.292595151812,0.998769025563638
"r_site_sitexr",17,1093.22695307576,13.5005134785818,0.00117057904857363,0.000848864219321569,-527.517586126924,0.99961788978296
"r_yr_yrxr",5,1094.82846440724,15.1020248100549,0.000525577760109367,0.000381131163736145,-542.224358785897,0.999999020946696
"r",3,1106.75708994418,27.0306503470008,1.35010907362435e-06,9.79053303728265e-07,-550.303544972092,1
"yr",3,1150.36946590589,70.6430263087102,4.57153179456064e-16,3.31511978846882e-16,-572.109732952947,1
