"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"yr_site",10,909.112975962484,0,1,0.515259991667509,-443.837533732876,0.515259991667509
"cc_yr_site",11,909.336173655563,0.223197693078873,0.894402978394404,0.460850071194896,-442.79966577515,0.976110062862405
"yr_site_yrxsite",17,915.472835951982,6.35985998949798,0.0415885664373009,0.0214289243959473,-438.640527565032,0.997538987258352
"site",9,920.497162348748,11.3841863862637,0.00337252622719317,0.00173772783572201,-450.664165589958,0.999276715094074
"cc_site",10,922.256350893552,13.1433749310672,0.00139943392203347,0.000721072311006197,-450.40922119841,0.99999778740508
"cc_site_sitexcc",17,933.829498173235,24.7165222107509,4.29413205598038e-06,2.21259444738364e-06,-447.818858675659,0.999999999999528
"cc_yr",4,966.271684523959,57.1587085614746,3.87386194549871e-13,1.99604607375875e-13,-479.010056098457,0.999999999999727
"cc_yr_yrxcc",5,966.641498363341,57.5285224008567,3.2198829517076e-13,1.65907686286721e-13,-478.130875763949,0.999999999999893
"cc",3,967.524299416319,58.4113234538341,2.07081962291076e-13,1.06701050164591e-13,-480.687149708159,1
"yr",3,990.796684565893,81.6837086034085,1.83066149128954e-18,9.4326662474788e-19,-492.323342282946,1
