"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_yr_site_log",11,869.34170402621,0,1,0.436413610314743,-422.802430960474,0.436413610314743
"yr_site_yrxsite",17,869.539507393636,0.197803367426104,0.905831761661171,0.395317309444316,-415.673863285859,0.831730919759059
"r_yr_site",11,872.379630874013,3.03792684780319,0.218938716009145,0.0955478354912253,-424.321394384375,0.927278755250284
"cc_yr_site_log",11,874.543970176664,5.20226615045374,0.074189468323264,0.0323772937182869,-425.4035640357,0.959656048968571
"cc_yr_site",11,874.987017343324,5.64531331711362,0.0594478002295025,0.0259438291234268,-425.62508761903,0.985599878091998
"sc_yr_site_log",11,877.574912819575,8.23320879336507,0.0162997681257855,0.00711344065506724,-426.919035357156,0.992713318747065
"yr_site",10,878.140932084462,8.7992280582514,0.0122820795133018,0.00536006666257279,-428.351511793865,0.998073385409638
"sc_yr_site",11,880.187636633335,10.8459326071248,0.00441403384485071,0.00192634444628277,-428.225397264036,0.99999972985592
"sc_site_log",10,899.915417545508,30.5737135192976,2.29616167360054e-07,1.00207620584235e-07,-439.238754524388,0.999999830063541
"site",9,901.013980350442,31.6722763242316,1.32572236079681e-07,5.78563281750322e-08,-440.922574590805,0.999999887919869
"cc_site",10,902.504810217802,33.163106191592,6.29104785939542e-08,2.74549890898159e-08,-440.533450860535,0.999999915374858
"sc_site",10,902.835714235966,33.4940102097555,5.33172933726435e-08,2.32683924929657e-08,-440.698902869617,0.999999938643251
"r_site",10,902.884373698341,33.5426696721308,5.20357509636723e-08,2.27091099434951e-08,-440.723232600805,0.999999961352361
"cc_site_log",10,903.175760460948,33.8340564347374,4.49808849023386e-08,1.96302703753815e-08,-440.868925982108,0.999999980982631
"r_site_log",10,903.239200586024,33.8974965598134,4.35764800776218e-08,1.90173689954834e-08,-440.900646044646,1
"sc_yr_log",4,963.492810969764,94.1511069435534,3.59208739678789e-21,1.56763582939829e-21,-477.62061932136,1
"sc_yr",4,965.312978122497,95.9712740962869,1.44578135385079e-21,6.30958660359759e-22,-478.530702897727,1
"cc_yr",4,969.183670222661,99.8419661964507,2.08733670105541e-22,9.10942145650058e-23,-480.466048947808,1
"cc",3,970.471405519654,101.129701493444,1.09638817396525e-22,4.78478721306564e-23,-482.160702759827,1
"cc_yr_log",4,971.494664400546,102.152960374336,6.57304339780801e-23,2.86856559999288e-23,-481.621546036751,1
"sc_power",3,972.22711958951,102.8854155633,4.55738665475496e-23,1.98890556360184e-23,-483.038559794755,1
"sc_log",3,972.935724832064,103.594020805854,3.19774775658359e-23,1.39554064332652e-23,-483.392862416032,1
"cc_log",3,973.719704750302,104.378000724091,2.16075301028712e-23,9.42982022217852e-24,-483.784852375151,1
"sc",3,974.943122689142,105.601418662932,1.17204232900026e-23,5.11495224240703e-24,-484.396561344571,1
"cc_power",3,975.290489209429,105.948785183219,9.85175527925407e-24,4.2994400893566e-24,-484.570244604715,1
"r_yr",4,992.049134870912,122.707430844701,2.26162162346752e-27,9.87002457863352e-28,-491.898781271934,1
"r_yr_log",4,992.351765573206,123.010061546995,1.94403699720573e-27,8.48404204535986e-28,-492.050096623081,1
"yr",3,992.829926089279,123.488222063069,1.53064081232655e-27,6.67992483002522e-28,-493.339963044639,1
"r",3,997.391883274404,128.050179248194,1.56407247370609e-28,6.82582515043985e-29,-495.620941637202,1
"r_log",3,998.107982987445,128.766278961235,1.09334644191868e-28,4.77151268042509e-29,-495.978991493723,1
"r_power",3,998.236370295432,128.894666269222,1.02536584332072e-28,4.47483609577016e-29,-496.043185147716,1
