"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr_site",11,1071.2980638017,0,1,0.975399346171514,-523.780610848218,0.975399346171514
"r_yr_site",11,1079.72643959718,8.42837579548359,0.01478432327552,0.0144206192565305,-527.99479874596,0.989819965428044
"cc_site",10,1083.03578485923,11.7377210575351,0.0028260917502705,0.00275656804543455,-530.798938181251,0.992576533473479
"yr_site",10,1083.10928861427,11.8112248125681,0.00272411300587909,0.00265709804483178,-530.835690058768,0.99523363151831
"sc_yr_site",11,1084.52009706395,13.2220332622528,0.00134546361369271,0.00131236432909344,-530.391627479345,0.996545995847404
"yr_site_yrxsite",17,1084.78550573581,13.4874419341133,0.00117825474258805,0.00114926890554387,-523.296862456948,0.997695264752948
"site",9,1084.83433853012,13.5362747284246,0.00114983438018109,0.00112154770263416,-532.832753680646,0.998816812455582
"sc_site",10,1086.0043008365,14.7062370347985,0.000640591546307391,0.000624832575431228,-532.283196169883,0.999441645031013
"r_site",10,1086.48058823126,15.1825244295605,0.000504843430800084,0.000492423952321386,-532.521339867264,0.999934068983334
"r_yr",4,1092.83676263067,21.5386988289681,2.10344410325447e-05,2.05169800302273e-05,-542.292595151812,0.999954585963365
"r_site_sitexr",17,1093.22695307576,21.9288892740653,1.73062190736632e-05,1.6880474769152e-05,-527.517586126924,0.999971466438134
"cc_site_sitexcc",17,1093.25738453263,21.9593207309292,1.70448855757616e-05,1.66255702461661e-05,-527.532801855356,0.99998809200838
"r_yr_yrxr",5,1094.82846440724,23.5304006055385,7.77031151188057e-06,7.57915676823729e-06,-542.224358785897,0.999995671165148
"sc_site_sitexsc",17,1096.17084258938,24.8727787876771,3.97140987591074e-06,3.87371059634242e-06,-528.989530883729,0.999999544875745
"cc_yr",4,1101.14464703324,29.8465832315412,3.3029104528511e-07,3.22165669617402e-07,-546.446537353098,0.999999867041414
"cc_yr_yrxcc",5,1103.23423874727,31.936174945572,1.16184374444777e-07,1.13326162868782e-07,-546.427245955914,0.999999980367577
"r",3,1106.75708994418,35.4590261424844,1.99604490016752e-08,1.94694089055238e-08,-550.303544972092,0.999999999836986
"cc",3,1116.32261853442,45.0245547327165,1.6712528647726e-10,1.63013895158646e-10,-555.086309267208,1
"yr",3,1150.36946590589,79.0714021041938,6.75870039151025e-18,6.59243194284825e-18,-572.109732952947,1
"sc_yr",4,1151.50874465994,80.2106808582428,3.82359563178408e-18,3.72953267926645e-18,-571.628586166449,1
"sc_yr_yrxsc",5,1152.67724919578,81.3791853940793,2.13174091495526e-18,2.07929869465442e-18,-571.148751180168,1
"sc",3,1153.81752666292,82.5194628612232,1.20538647695168e-18,1.17573318150266e-18,-573.833763331461,1
