"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr",4,1044.21235624367,0,1,0.580739890122704,-518.011391391978,0.580739890122704
"cc_yr_yrxcc",5,1045.63170484108,1.41934859740422,0.491804352694145,0.285610405745465,-517.67299527768,0.866350295868169
"cc_yr_site",11,1047.15966772924,2.9473114855648,0.229086471297661,0.133039652170002,-511.932775041088,0.999389948038171
"cc",3,1058.24158792215,14.0292316784819,0.000898650971913222,0.000521882466687546,-526.064190187491,0.999911830504858
"cc_site",10,1062.53519279037,18.3228365467021,0.000105013854031741,6.09857340517549e-05,-520.731011029333,0.99997281623891
"cc_site_sitexcc",17,1064.15337513861,19.9410188949423,4.67587362761381e-05,2.71546633672809e-05,-513.531233023852,0.999999970902277
"sc_site",10,1078.73485213604,34.5224958923736,3.1881244518673e-08,1.85147104387492e-08,-528.830840702169,0.999999989416988
"sc_yr_site",11,1080.90419396649,36.6918377228142,1.07762751840969e-08,6.25821286634444e-09,-528.805038159713,0.999999995675201
"site",9,1083.72224632209,39.5098900784228,2.63351853409492e-09,1.52938926412639e-09,-532.424229957163,0.99999999720459
"r_yr_site",11,1084.2002116319,39.9878553882302,2.07370765509773e-09,1.20428475576806e-09,-530.453046992421,0.999999998408875
"r_site",10,1084.94593591329,40.7335796696225,1.42828725426292e-09,8.29463383104306e-10,-531.936382590793,0.999999999238338
"yr_site",10,1085.38795141031,41.1755951666364,1.14507284334919e-09,6.64989477229101e-10,-532.1573903393,0.999999999903328
"r_site_sitexr",17,1090.886644126,46.6742878823297,7.32499213930136e-11,4.25391513012754e-11,-526.897867517546,0.999999999945867
"yr_site_yrxsite",17,1091.27008080957,47.0577245658951,6.04706929113092e-11,3.51177435569574e-11,-527.089585859329,0.999999999980985
"sc_site_sitexsc",17,1092.49698373963,48.2846274959611,3.27435949185542e-11,1.90155117152235e-11,-527.703037324362,1
"r_yr",4,1127.07656932754,82.8642130838707,1.01452967625704e-18,5.89177852715737e-19,-559.443497933913,1
"r_yr_yrxr",5,1127.96171042536,83.7493541816889,6.51716637261057e-19,3.78477848314125e-19,-558.837998069823,1
"r",3,1131.20921445004,86.996858206365,1.28490869802773e-19,7.46197736110332e-20,-562.548003451433,1
"sc",3,1161.08292720531,116.870570961639,4.18675904503609e-26,2.43141798778449e-26,-577.48485982907,1
"sc_yr",4,1162.19940303771,117.987046794035,2.39573247895292e-26,1.39129741659051e-26,-577.004914788995,1
"sc_yr_yrxsc",5,1163.64971715192,119.437360908248,1.16012987924971e-26,6.73733698603545e-27,-576.682001433102,1
"yr",3,1165.02442443202,120.81206818835,5.8343532314979e-27,3.38824165459713e-27,-579.455608442426,1
