"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr_site_log",11,1028.97869098748,0,1,0.94694370762787,-502.620924441109,0.94694370762787
"cc_yr_site",11,1034.74613120495,5.76744021746799,0.0559263233617709,0.0529590799981905,-505.504644549843,0.99990278762606
"yr_site_yrxsite",17,1048.97197721653,19.9932862290525,4.55525882123252e-05,4.31357367738249e-05,-505.390098197308,0.999945923362834
"r_yr_site_log",11,1049.21126787814,20.2325768906578,4.04158531474087e-05,3.82715378263507e-05,-512.737212886438,0.99998419490066
"r_yr_site",11,1051.8205201607,22.8418291732162,1.09637674879926e-05,1.03820706346496e-05,-514.041839027717,0.999994576971295
"cc_site_log",10,1054.11912427958,25.1404332920984,3.47395568627278e-06,3.28964047769407e-06,-516.340607891424,0.999997866611773
"sc_yr_site_log",11,1055.94709012133,26.9683991338527,1.39279287106348e-06,1.31889644528252e-06,-516.105124008036,0.999999185508218
"cc_site",10,1059.50707149921,30.5283805117299,2.34880196278802e-07,2.22418323912611e-07,-519.03458150124,0.999999407926542
"yr_site",10,1059.64490820987,30.6662172223932,2.19237852680094e-07,2.07605905069261e-07,-519.103499856571,0.999999615532447
"sc_site_log",10,1060.16603089332,31.1873399058411,1.68948829326793e-07,1.59985030842101e-07,-519.364061198295,0.999999775517478
"sc_yr_site",11,1060.28891164453,31.3102206570477,1.58881002238173e-07,1.50451365331047e-07,-518.276034769633,0.999999925968843
"r_site_log",10,1063.85433487285,34.8756438853723,2.67208429115089e-08,2.53031340575661e-08,-521.208213188061,0.999999951271977
"site",9,1064.35556310668,35.3768721191971,2.07974374031959e-08,1.96940024837408e-08,-522.593365968924,0.99999997096598
"sc_site",10,1064.74960614459,35.7709151571055,1.70782932814453e-08,1.6172182359888e-08,-521.655848823928,0.999999987138162
"r_site",10,1065.57960961414,36.6009186266592,1.12774654155286e-08,1.06791249132257e-08,-522.070850558704,0.999999997817287
"r_yr_log",4,1068.77293384288,39.794242855402,2.28449366560253e-09,2.16328690175804e-09,-530.26068075792,0.999999999980574
"cc_yr_log",4,1078.87750795474,49.8988169672621,1.46086326634629e-11,1.38335527777131e-11,-535.31296781385,0.999999999994407
"r_yr",4,1080.74216484332,51.7634738558399,5.75048493634389e-12,5.4453855262797e-12,-536.245296258139,0.999999999999853
"r_log",3,1088.94353576625,59.9648447787699,9.52356175281411e-14,9.01827687603277e-14,-541.396767883126,0.999999999999943
"r_power",3,1091.04048163355,62.0617906460657,3.33774683446517e-14,3.16065836255163e-14,-542.445240816774,0.999999999999975
"cc_yr",4,1091.57764587388,62.5989548863986,2.55158276484653e-14,2.41620524366314e-14,-541.663036773418,0.999999999999999
"cc_log",3,1099.44698433417,70.4682933466925,4.98889685688173e-16,4.72420448662861e-16,-546.648492167087,0.999999999999999
"r",3,1100.08773995512,71.1090489676362,3.62131421976332e-16,3.42918071374821e-16,-546.968869977559,1
"cc_power",3,1100.15939474567,71.1807037581898,3.49386861793049e-16,3.30849690302776e-16,-547.004697372836,1
"cc",3,1111.14139328596,82.1627022984742,1.44077407991859e-18,1.36433194909224e-18,-552.495696642978,1
"yr",3,1148.26776592527,119.28907493779,1.24941438426599e-26,1.18312508940043e-26,-571.058882962636,1
"sc_yr",4,1149.41581643439,120.437125446907,7.03737187587788e-27,6.6639950160999e-27,-570.582122053672,1
"sc_yr_log",4,1149.48410562196,120.505414634476,6.80113964913823e-27,6.44029639544986e-27,-570.616266647457,1
"sc",3,1151.72000405684,122.741313069362,2.22362995667659e-27,2.10565239556773e-27,-572.785002028422,1
"sc_log",3,1151.81414510577,122.83545411829,2.121387703563e-27,2.00883473732812e-27,-572.832072552886,1
"sc_power",3,1151.81990268707,122.841211699591,2.11528945447947e-27,2.00306003873093e-27,-572.834951343536,1
