"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr",4,1044.21235624367,0,1,0.580739905726155,-518.011391391978,0.580739905726155
"cc_yr_yrxcc",5,1045.63170484108,1.41934859740422,0.491804352694145,0.285610413419311,-517.67299527768,0.866350319145465
"cc_yr_site",11,1047.15966772924,2.9473114855648,0.229086471297661,0.133039655744541,-511.932775041088,0.999389974890007
"cc",3,1058.24158792215,14.0292316784819,0.000898650971913222,0.000521882480709602,-526.064190187491,0.999911857370716
"cc_site",10,1062.53519279037,18.3228365467021,0.000105013854031741,6.09857356903334e-05,-520.731011029333,0.999972843106407
"cc_site_sitexcc",17,1064.15337513861,19.9410188949423,4.67587362761381e-05,2.71546640968786e-05,-513.531233023852,0.999999997770503
"site",9,1083.72224632209,39.5098900784228,2.63351853409492e-09,1.52938930521837e-09,-532.424229957163,0.999999999299893
"yr_site",10,1085.38795141031,41.1755951666364,1.14507284334919e-09,6.6498949509619e-10,-532.1573903393,0.999999999964882
"yr_site_yrxsite",17,1091.27008080957,47.0577245658951,6.04706929113092e-11,3.51177445005089e-11,-527.089585859329,1
"yr",3,1165.02442443202,120.81206818835,5.8343532314979e-27,3.38824174563318e-27,-579.455608442426,1
