"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_yr_site",11,908.14490268203,0,1,0.415300055323052,-442.204030288383,0.415300055323052
"yr_site",10,909.112975962484,0.968073280454519,0.616290620470206,0.255945528776355,-443.837533732876,0.671245584099407
"cc_yr_site",11,909.336173655563,1.19127097353339,0.551212166505087,0.228918443244302,-442.79966577515,0.900164027343709
"sc_yr_site",11,911.263590486818,3.11868780478835,0.210273986211884,0.0873267981067942,-443.763374190778,0.987490825450504
"yr_site_yrxsite",17,915.472835951982,7.3279332699525,0.0256306434141106,0.0106444076278455,-438.640527565032,0.998135233078349
"site",9,920.497162348748,12.3522596667182,0.00207845628110892,0.000863183008531081,-450.664165589958,0.99899841608688
"cc_site",10,922.256350893552,14.1114482115217,0.000862458000117063,0.000358178855162425,-450.40922119841,0.999356594942043
"r_site",10,922.509700216377,14.3647975343474,0.000759842967933051,0.000315562826619428,-450.535895859823,0.999672157768662
"sc_site",10,922.529981590832,14.3850789088019,0.000752176574996628,0.000312378973208804,-450.54603654705,0.999984536741871
"sc_site_sitexsc",17,929.379402832626,21.2345001505959,2.44898925308243e-05,1.01706537229069e-05,-445.593811005354,0.999994707395594
"r_site_sitexr",17,931.151325342743,23.0064226607132,1.00976146996914e-05,4.19353994341272e-06,-446.479772260413,0.999998900935537
"cc_site_sitexcc",17,933.829498173235,25.6845954912054,2.64643330916115e-06,1.09906389970339e-06,-447.818858675659,0.999999999999437
"sc_yr",4,964.592478112605,56.4475754305748,5.52795802699406e-13,2.29576127443414e-13,-478.17045289278,0.999999999999667
"cc_yr",4,966.271684523959,58.1267818419291,2.38742478200732e-13,9.91497644047266e-14,-479.010056098457,0.999999999999766
"sc_yr_yrxsc",5,966.321529493431,58.1766268114015,2.32865955377751e-13,9.67092441512356e-14,-477.970891328994,0.999999999999862
"cc_yr_yrxcc",5,966.641498363341,58.4965956813112,1.98438366214931e-13,8.24114644672771e-14,-478.130875763949,0.999999999999945
"cc",3,967.524299416319,59.3793967342887,1.27622671028555e-13,5.30017023386346e-14,-480.687149708159,0.999999999999998
"sc",3,973.91707281894,65.7721701369106,5.22101238436742e-15,2.16828673207013e-15,-483.88353640947,1
"r_yr",4,989.96316423214,81.8182615501099,1.71155257783045e-18,7.10807880261298e-19,-490.855795952548,1
"r_yr_yrxr",5,990.045898105861,81.9009954238313,1.64219532907191e-18,6.82003811014824e-19,-489.833075635209,1
"yr",3,990.796684565893,82.651781883863,1.12821950633774e-18,4.68549623398612e-19,-492.323342282946,1
"r",3,995.394149159533,87.2492464775036,1.13257469056613e-19,4.70358331649601e-20,-494.622074579767,1
