"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"site",9,1203.33699085867,0,1,0.390832447084963,-592.231602225453,0.390832447084963
"r_site",10,1203.82184073602,0.484849877343095,0.784722647692537,0.306695072680665,-591.374335002154,0.697527519765628
"yr_site",10,1204.68189198796,1.34490112929097,0.510456138056058,0.199502821565989,-591.804360628128,0.897030341331617
"r_yr_site",11,1206.02311067174,2.68611981306344,0.261045669893539,0.102025117965425,-591.364496512339,0.999055459297042
"yr_site_yrxsite",17,1216.54931031269,13.2123194540186,0.00135201429659958,0.000528411056033869,-589.729200610891,0.999583870353075
"r_site_sitexr",17,1217.02706557986,13.6900747211916,0.00106472645711,0.000416129646708405,-589.968078244478,0.999999999999784
"r_yr_yrxr",5,1260.92332309325,57.5863322345758,3.12814473262895e-13,1.22258046068931e-13,-625.318804403767,0.999999999999906
"r_yr",4,1261.64172231259,58.3047314539131,2.18418002161711e-13,8.53648422722701e-14,-626.726074426435,0.999999999999991
"r",3,1266.25405171717,62.9170608585016,2.17637548742364e-14,8.5059815752551e-15,-630.070422085002,1
"yr",3,1391.34322260314,188.006231744469,1.49611678376765e-41,5.84730983724794e-42,-692.615007527986,1
