"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr_site_log",11,937.121201420818,0,1,0.650821394178011,-456.913541886879,0.650821394178011
"cc_yr_log",4,938.367384018995,1.24618259817771,0.536284058131877,0.34902513838883,-465.08890527964,0.999846532566841
"cc_yr_site",11,953.840437374536,16.7192359537188,0.000234133761201171,0.000152379260889088,-465.273159863739,0.99999891182773
"cc_yr",4,963.73383633078,26.6126349099624,1.66394801842384e-06,1.08293296919034e-06,-477.772131435532,0.999999994760699
"cc_power",3,975.6532521395,38.5320507186823,4.29409351638873e-09,2.79468792906687e-09,-484.770022296165,0.999999997555387
"cc_log",3,976.300661847967,39.179460427149,3.10662094725381e-09,2.02185537607434e-09,-485.093727150398,0.999999999577243
"cc_site_log",10,979.431042480602,42.309841059784,6.49433591972023e-10,4.22665275753266e-10,-479.178935874447,0.999999999999908
"cc_site",10,996.837949673395,59.716748252577,1.07813433810857e-13,7.01672893039006e-14,-487.882389470844,0.999999999999978
"cc",3,999.165586093493,62.0443846726752,3.36692197202634e-14,2.19126485192276e-14,-496.526189273161,1
"sc_site_log",10,1037.21066320393,100.089461783108,1.84437626819232e-22,1.20035953425376e-22,-508.068746236109,1
"sc_site",10,1037.76388056482,100.642679144002,1.39868495016001e-22,9.10294089278938e-23,-508.345354916556,1
"sc_yr_site_log",11,1039.34155266662,102.220351245803,6.35525173492649e-23,4.13613379447709e-23,-508.023717509781,1
"sc_yr_site",11,1039.78340915615,102.662207735337,5.09547693735095e-23,3.31624540436865e-23,-508.244645754548,1
"r_yr_site_log",11,1044.60410910445,107.482907683632,4.57491623852631e-24,2.97745336460532e-24,-510.654995728695,1
"r_yr_site",11,1045.662567029,108.541365608184,2.69489549910082e-24,1.75389564588884e-24,-511.184224690971,1
"yr_site_yrxsite",17,1047.50295587735,110.381754456537,1.07375838523877e-24,6.98824929291428e-25,-505.206023393223,1
"r_site_log",10,1047.77448258987,110.653281169049,9.37443909618828e-25,6.10108552221811e-25,-513.35065592908,1
"site",9,1048.3821604174,111.260958996587,6.91814608232404e-25,4.50247747842528e-25,-514.754187004819,1
"r_site",10,1048.69493808537,111.573736664551,5.91658244542217e-25,3.85063843589881e-25,-513.810883676831,1
"yr_site",10,1049.58070177734,112.459500356518,3.79952913264306e-25,2.47281484732672e-25,-514.253765522814,1
"r_yr_log",4,1112.12504757522,175.003846154407,9.9631725457256e-39,6.48424584664522e-39,-551.967737057754,1
"r_log",3,1118.23013393711,181.108932516296,4.70646672332088e-40,3.06306923452411e-40,-556.058463194972,1
"r_power",3,1120.48235913398,183.361157713163,1.5262669670147e-40,9.93327195360355e-41,-557.184575793406,1
"r_yr",4,1121.0931189501,183.97191752928,1.12461972368403e-40,7.3192657648813e-41,-556.451772745191,1
"r",3,1126.62381194061,189.502610519789,7.07996274619827e-42,4.60779122520914e-42,-560.255302196718,1
"sc_log",3,1160.45174095269,223.330539531876,3.19440164193302e-49,2.07898493016738e-49,-577.169266702762,1
"sc_power",3,1160.5604005406,223.439199119787,3.025480726823e-49,1.96904758468965e-49,-577.223596496717,1
"sc",3,1160.57960248182,223.458401061003,2.99657217244223e-49,1.95023327902389e-49,-577.233197467325,1
"sc_yr_log",4,1161.37456006355,224.253358642736,2.01373304395659e-49,1.31058054717016e-49,-576.592493301919,1
"sc_yr",4,1161.65965333252,224.5384519117,1.74620279822409e-49,1.13646613965775e-49,-576.735039936401,1
"yr",3,1164.61221647128,227.491015050467,3.98982401921355e-50,2.59666283070948e-50,-579.249504462057,1
