"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"site",9,1203.33699085867,0,1,0.270237222357582,-592.231602225453,0.270237222357582
"r_site",10,1203.82184073602,0.484849877343095,0.784722647692537,0.212061268633519,-591.374335002154,0.482298490991101
"yr_site",10,1204.68189198796,1.34490112929097,0.510456138056058,0.137944248883648,-591.804360628128,0.620242739874749
"cc_site",10,1205.17073590581,1.83374504713765,0.39976735100532,0.108032018524926,-592.048782587051,0.728274758399675
"sc_site",10,1205.21864357118,1.88165271250955,0.390305170939725,0.105474985266553,-592.072736419737,0.833749743666228
"r_yr_site",11,1206.02311067174,2.68611981306344,0.261045669893539,0.0705442567405042,-591.364496512339,0.904294000406732
"sc_yr_site",11,1206.74648612256,3.40949526388317,0.181818265508535,0.0491340630449,-591.726184237748,0.953428063451632
"cc_yr_site",11,1206.89163238073,3.55464152205855,0.169090574975041,0.0456945673081015,-591.798757366836,0.999122630759734
"yr_site_yrxsite",17,1216.54931031269,13.2123194540186,0.00135201429659958,0.000365364588100811,-589.729200610891,0.999487995347835
"r_site_sitexr",17,1217.02706557986,13.6900747211916,0.00106472645711,0.000287728720340037,-589.968078244478,0.999775724068175
"sc_site_sitexsc",17,1218.67018528012,15.3331944214447,0.000468208330375187,0.000126527318685272,-590.789638094604,0.99990225138686
"cc_site_sitexcc",17,1219.18630374697,15.8493128882988,0.000361714097480442,9.77486129906946e-05,-591.047697328031,0.999999999999851
"r_yr_yrxr",5,1260.92332309325,57.5863322345758,3.12814473262895e-13,8.4534114367815e-14,-625.318804403767,0.999999999999935
"r_yr",4,1261.64172231259,58.3047314539131,2.18418002161711e-13,5.90246742170732e-14,-626.726074426435,0.999999999999994
"r",3,1266.25405171717,62.9170608585016,2.17637548742364e-14,5.88137666528494e-15,-630.070422085002,1
"cc_yr",4,1292.04479328209,88.7078024234202,5.46192148496605e-20,1.47601449083243e-20,-641.927609911188,1
"cc_yr_yrxcc",5,1293.53184334774,90.1948524890686,2.59678882746974e-20,7.01748999784627e-21,-641.623064531013,1
"cc",3,1295.43569533731,92.098704478635,1.00235238308501e-20,2.70872923828397e-21,-644.661243895069,1
"sc",3,1359.68754907068,156.35055821201,1.11919990086528e-34,3.02449472472714e-35,-676.787170761756,1
"sc_yr_yrxsc",5,1360.83408531806,157.497094459386,6.30870878145043e-35,1.70484793776205e-35,-675.274185516172,1
"sc_yr",4,1361.75348403338,158.41649317471,3.98378219156673e-35,1.07656623392659e-35,-676.781955286834,1
"yr",3,1391.34322260314,188.006231744469,1.49611678376765e-41,4.04306443967929e-42,-692.615007527986,1
