notes,code,observer,survey,depth,year,month,day,exceldate,site,transect,fixed transect,TransectMatchCode,sand,pavement,dead_coral,apalmrub,acervrub,porrub,madrub,rubble,fila_macro,dictyota,crustose,redfilalg,halimeda,Lobophora,flesh-macro,lizalgae,sp_encrust,orsponge,sp_erect,tubesponge,lizsponge,bransoft,feathsoft,sea_fan,encsoft,fire_coral,acpa,acce,poas,poco,popo,pofu,Monliz,moan,maca,agag,agsp,Agliz,decy,sisp,fafr,disp,dila,meme,cona,issi,eufa,mysp,muan,masp,dsto,hecu,maar,stin,scsp,ocul,clar,sosp,anemcolon,anemsol,Zoanthids,correl,urchin,tubeworm,oyster,hydrozoan,crinoid,other,diadema_count,% COVER TO THE RIGHT OF HERE,TOTAL#pts.,livecoral_all_cover,deadcoral_cover,acpa_cover,acce_cover,poas_cover,poco_cover,popo_cover,moan_cover,maca_cover,sand_cover,pavement_cover,sponge_all_cover,bransoft_cover,feathsoft_cover,fansoft_cover,rubble,algae_all_cover,fila_macro_cover,flesh_macro_cover,crustose_cover,montast_all_cover,decy_cover,sisp_cover,fafr_cover,disp_cover,meme_cover,cona_cover,issi_cover,eufa_cover,mysp_cover,muan_cover,masp_cover,dsto_cover,lesp_cover,maar_cover,stin_cover,scsp_cover,ocul_cover,clar_cover,sosp_cover,Anemcolon_cover,Anemsol_cover,Zoanthids_cover,agag_cover,Agsp_cover,Pofu_cover,po_branch_cover,po_massive_cover,erect_soft_cover,enc_soft_cover,fire_coral_cover,sponge_erect_cover,sponge_encrusting_cover
,1 ,EK,main,30 ,1992 ,july,15 ,15/7,crab,1 ,n,main-30-1992-july-15-crab-1,0 ,0 ,16 ,16 ,12 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,28 ,0 ,5 ,0 ,3 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,4 ,5 ,4 ,0 ,0 ,5 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,,,120 ,24.17,13.33,0.00,1.67,0.00,0.00,0.83,3.33,4.17,0.00,0.00,0.83,23.33,0.00,4.17,23.33,4.17,0.00,4.17,0.00,7.50,4.17,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.67,3.33,0.00,0.00,0.83,0.00,27.50,0.00,2.5 ,22.91666667 ,0.833333333 
,2 ,EK,main,30 ,1992 ,july,15 ,15/7,crab,t,y,main-30-1992-july-15-crab-t,1 ,0 ,22 ,7 ,0 ,1 ,0 ,6 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,4 ,0 ,0 ,23 ,0 ,2 ,0 ,4 ,1 ,17 ,0 ,0 ,2 ,0 ,0 ,12 ,4 ,4 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,124 ,34.68,17.74,0.81,13.71,0.00,0.00,1.61,9.68,3.23,0.81,0.00,8.87,18.55,0.00,1.61,11.29,3.23,0.00,3.23,0.00,12.90,0.81,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,1.61,0.00,20.16,0.00,3.225806452 ,16.2591051 ,5.64516129 
,3 ,EK,training,30 ,1992 ,july,17 ,17/7,monkey,1 ,n,training-30-1992-july-17-monkey-1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,19 ,44 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,,,115 ,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.26,0.00,6.09,14.78,12.17,0.00,0.00,0.00,0.00,0.87,4.35,0.00,0.87,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,0.00,0.00,0.00,0.00,0.00,0.00,44.35,0.00,0 ,38.56332703 ,0 
,4 ,EK,training,30 ,1992 ,july,17 ,17/7,monkey,t,y,training-30-1992-july-17-monkey-t,0 ,0 ,4 ,0 ,26 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,0 ,0 ,0 ,0 ,16 ,38 ,0 ,5 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,,,121 ,4.13,3.31,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.40,0.00,4.13,21.49,21.49,0.00,0.00,0.00,1.65,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.54,0.00,0 ,29.36957858 ,0 
,5 ,EK,training,30 ,1992 ,july,17 ,17/7,white,1 ,n,training-30-1992-july-17-white-1,0 ,0 ,5 ,0 ,7 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,40 ,0 ,10 ,0 ,1 ,0 ,1 ,3 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,11 ,3 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,109 ,33.94,4.59,0.00,0.92,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.70,0.00,9.17,7.34,0.00,0.00,0.00,0.00,11.93,2.75,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,0.00,2.75,0.00,0.00,0.00,0.00,2.75,45.87,0.00,0.917431193 ,42.08399966 ,0 
,6 ,EK,training,30 ,1992 ,july,17 ,17/7,white,t,y,training-30-1992-july-17-white-t,0 ,0 ,4 ,0 ,2 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,35 ,0 ,13 ,0 ,2 ,0 ,0 ,4 ,0 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,9 ,0 ,5 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,103 ,34.95,3.88,0.00,0.00,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.98,0.00,12.62,6.80,0.00,0.00,0.00,0.00,12.62,0.00,4.85,0.00,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.97,0.00,0.00,0.00,0.00,3.88,46.60,0.00,1.941747573 ,45.24460364 ,0 
,7 ,EK,training,30 ,1992 ,july,18 ,18/7,bigelow,1 ,n,training-30-1992-july-18-bigelow-1,3 ,0 ,6 ,5 ,6 ,0 ,0 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,18 ,32 ,0 ,6 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,121 ,14.88,4.96,0.00,2.48,2.48,0.00,0.00,0.00,0.00,2.48,0.00,0.00,26.45,0.00,4.96,28.10,3.31,0.00,0.00,0.00,5.79,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,31.40,0.00,0 ,25.9545113 ,0 
,8 ,EK,training,30 ,1992 ,july,18 ,18/7,bigelow,t,y,training-30-1992-july-18-bigelow-t,7 ,2 ,0 ,4 ,0 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,19 ,26 ,0 ,6 ,2 ,0 ,0 ,1 ,4 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,121 ,16.53,0.00,0.00,0.83,3.31,0.00,0.00,0.00,0.00,5.79,1.65,0.00,21.49,0.00,4.96,27.27,4.96,0.00,0.00,0.00,5.79,0.00,3.31,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.31,26.45,1.65,0 ,21.85643057 ,0 
,9 ,EK,training,30 ,1992 ,july,18 ,18/7,muskN,1 ,n,training-30-1992-july-18-muskN-1,0 ,0 ,6 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,9 ,35 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,,,94 ,23.40,6.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.23,0.00,0.00,10.64,7.45,0.00,0.00,0.00,11.70,6.38,1.06,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,37.23,0.00,2.127659574 ,39.61068357 ,0 
,10 ,EK,training,30 ,1992 ,july,18 ,18/7,muskN,t,y,training-30-1992-july-18-muskN-t,0 ,0 ,6 ,0 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,10 ,35 ,0 ,3 ,0 ,1 ,0 ,6 ,1 ,0 ,0 ,0 ,33 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,120 ,40.83,5.00,0.00,5.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.17,0.00,2.50,5.83,4.17,0.00,0.00,0.00,27.50,0.00,0.83,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.83,31.67,0.00,0.833333333 ,26.38888889 ,0 
