"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"19","year + site + year*site + coralrichness",18,1000.87103773307,0,1,0.818467281979099,-480.076898176878,0.818467281979099
"15","coralrichness + year + site",11,1004.01990340511,3.14886567204303,0.207124993209178,0.169525030221855,-490.141530649923,0.987992312200955
"9","coralrichness + site",10,1009.32048867939,8.44945094632817,0.0146293503076257,0.0119736445834025,-493.941290091331,0.999965956784358
"22","site + coralrichness + coralrichness*site",17,1021.04640222811,20.1753644950472,4.15886922931234e-05,3.40389839422178e-05,-491.427310703097,0.9999999957683
"14","cover + year + site",11,1039.36281960726,38.4917818741924,4.38142888154335e-09,3.58605618786151e-09,-507.812988750997,0.999999999354356
"17","year + site + year*site + cover",18,1042.79567881327,41.924641080202,7.8737180947276e-10,6.44438064806135e-10,-501.039218716979,0.999999999998794
"16","year + site + year*site",17,1056.31536838904,55.4443306559695,9.12886052231462e-13,7.47167365926515e-13,-509.061793783559,0.999999999999541
"18","year + site + year*site + rugosity",18,1058.13071280005,57.2596750669859,3.68315114593277e-13,3.0145387075298e-13,-508.706735710371,0.999999999999843
"13","rugosity + year + site",11,1059.73639412343,58.865356390364,1.65025201686061e-13,1.35067728282043e-13,-517.999776009083,0.999999999999978
"12","coralrichness + year",4,1064.79850301907,63.9274652860067,1.31318916912296e-14,1.07480236997646e-14,-528.273465346014,0.999999999999988
"25","year + coralrichness + coralrichness*year",5,1066.90593545091,66.0348977178396,4.57829901936523e-15,3.74718795446743e-15,-528.263094307731,0.999999999999992
"8","cover + site",10,1066.94327671169,66.0722389786235,4.49361232759211e-15,3.67787466803209e-15,-522.752684107479,0.999999999999996
"5","coralrichness",3,1067.55011412271,66.6790763896461,3.31758862110807e-15,2.71533774144311e-15,-530.700057061356,0.999999999999999
"6","year + site",10,1069.45111602728,68.5800782942129,1.28240503405961e-15,1.04960656262308e-15,-524.006603765273,1
"21","site + cover + cover*site",17,1072.91387693207,72.0428391990054,2.27036789899232e-16,1.85822184338085e-16,-517.361048055077,1
"2","site",9,1074.81072510617,73.9396873731037,8.79429217308929e-17,7.19784041183846e-17,-527.820946968669,1
"7","rugosity + site",10,1075.71491169961,74.8438739665396,5.59576240350495e-17,4.57994844499753e-17,-527.138501601437,1
"20","site + rugosity + rugosity*site",17,1076.90147859264,76.0304408595746,3.09171561211361e-17,2.53046807369898e-17,-519.354848885361,1
"10","rugosity + year",4,1088.79631029595,87.925272562881,8.07736397381518e-20,6.61105813720441e-20,-540.272368984451,1
"23","year + rugosity + rugosity*year",5,1090.82941368856,89.9583759554926,2.92271764016292e-20,2.39214876293651e-20,-540.224833426558,1
"11","cover + year",4,1094.87505488683,94.0040171537635,3.86622421597225e-21,3.16437802556858e-21,-543.311741279893,1
"24","year + cover + cover*year",5,1096.93321489253,96.0621771594663,1.38153938403249e-21,1.13074478459615e-21,-543.276734028544,1
"3","rugosity",3,1108.7784792296,107.907441496537,3.69995805680927e-24,3.02829461419335e-24,-551.314239614801,1
"4","cover",3,1115.24990779207,114.378870059005,1.45527122960236e-25,1.19109188783503e-25,-554.549953896035,1
"1","year",3,1153.44340759427,152.572369861206,7.40168910202942e-34,6.05804036139234e-34,-573.646703797136,1
