"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"29","log(cover) + site + year",11,937.669667994474,0,1,0.816595159146988,-457.187775173708,0.816595159146988
"28","log(cover) + year",4,941.632129191884,3.96246119740988,0.13789943398757,0.112608010243359,-466.721277866084,0.929203169390347
"32","log(cover) + year + log(cover)*year",5,942.835688867953,5.16602087347871,0.0755462341925974,0.0616906891334598,-466.274987291119,0.990893858523807
"30","log(cover) + site + year + year*site",18,947.874243219262,10.2045752247877,0.00608281551300959,0.00496719770190783,-454.201081000494,0.995861056225715
"11","cover + year + site",11,948.310951472115,10.6412834776406,0.00488961486250851,0.00399283582681762,-462.508416912528,0.999853892052533
"9","cover + year",4,956.91639265739,19.2467246629157,6.61647753226626e-05,5.40298352345344e-05,-474.363409598837,0.999907921887767
"13","year + site + year*site + cover",18,957.150323219433,19.4806552249588,5.88612480029483e-05,4.80658101805579e-05,-458.839121000579,0.999955987697948
"18","year + cover + cover*year",5,957.328122468269,19.6584544737949,5.38543575817591e-05,4.39772077002354e-05,-473.521204091277,0.999999964905648
"34","power(cover)",3,971.901020653893,34.2313526594187,3.68770537209679e-08,3.01136235521458e-08,-482.893906553361,0.999999995019271
"26","log(cover)",3,976.576534187149,38.9068661926748,3.56025702613047e-09,2.90728865285719e-09,-485.23166331999,0.99999999792656
"27","log(cover) + site",10,977.669488298515,39.9998203040407,2.06133882124706e-09,1.68327930279211e-09,-478.298158783404,0.999999999609839
"31","log(cover) + site + log(cover)*site",17,981.308092722668,43.638424728194,3.34223105939718e-10,2.72924970385444e-10,-472.108591815879,0.999999999882764
"16","site + cover + cover*site",17,983.017569298762,45.3479013042875,1.4217667349376e-10,1.16100783318626e-10,-472.963330103926,0.999999999998865
"4","cover",3,993.471641084718,55.8019730902437,7.63405885437976e-13,6.23393550512971e-13,-493.679216768774,0.999999999999488
"7","cover + site",10,993.867272408076,56.197604413602,6.26390631276553e-13,5.11507557235459e-13,-486.397050838184,1
"22","log(rugosity) + site + year",11,1049.62389659311,111.954228598639,4.89156858232646e-25,3.99443122496328e-25,-513.164889473027,1
"15","site + rugosity + rugosity*site",17,1049.79615667075,112.126488676281,4.4878914746968e-25,3.66479045301445e-25,-506.352623789923,1
"24","log(rugosity) + site + log(rugosity)*site",17,1050.00939716035,112.339729165876,4.03401735584334e-25,3.2941590446966e-25,-506.45924403472,1
"10","rugosity + year + site",11,1051.43153170339,113.761863708912,1.98118563370365e-25,1.61782659785396e-25,-514.068707028164,1
"12","year + site + year*site",17,1052.0949960934,114.425328098928,1.4218563056375e-25,1.1610809761862e-25,-507.502043501246,1
"20","log(rugosity) + site",10,1052.96273823688,115.293070242405,9.2135690724842e-26,7.52375590305701e-26,-515.944783752586,1
"2","site",9,1053.86884477885,116.199176784379,5.85692092253103e-26,4.78273327284555e-26,-517.497529185543,1
"6","rugosity + site",10,1054.2564564782,116.586788483727,4.82503590387974e-26,3.94010096181861e-26,-516.591642873247,1
"23","log(rugosity) + site + year + year*site",18,1054.43084293307,116.761174938593,4.42214533634279e-26,3.61110247470195e-26,-507.479380857396,1
"14","year + site + year*site + rugosity",18,1054.46409291701,116.794424922539,4.34923495220055e-26,3.55156420795986e-26,-507.496005849369,1
"5","year + site",10,1055.10554016828,117.435872173802,3.15590824997657e-26,2.57709939964291e-26,-517.016184718285,1
"21","log(rugosity) + year",4,1122.39166144282,184.721993448345,7.72909738955723e-41,6.31154351288806e-41,-557.101043991552,1
"25","log(rugosity) + year + log(rugosity)*year",5,1123.08345579786,185.413787803389,5.46899522390678e-41,4.46595502524027e-41,-556.398870756074,1
"19","log(rugosity)",3,1128.33590868895,190.666240694475,3.95687098850621e-42,3.23116169458333e-42,-561.11135057089,1
"33","power(rugosity)",3,1130.71995553006,193.050287535586,1.20133103503943e-42,9.81001107746241e-43,-562.303373991445,1
"8","rugosity + year",4,1132.08181550858,194.412147514103,6.08048973766558e-43,4.96529848502066e-43,-561.946121024431,1
"17","year + rugosity + rugosity*year",5,1133.31353415392,195.643866159442,3.28453772490852e-43,2.68213760619596e-43,-561.513909934101,1
"3","rugosity",3,1137.35726729746,199.687599302988,4.3489935053317e-44,3.55136704361556e-44,-565.622029875146,1
"1","year",3,1174.65962244643,236.989954451954,3.45370514456856e-52,2.82027890217573e-52,-584.273207449629,1
