"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"cc_yr",4,1044.21235624367,0,1,0.812767010235022,-518.011391391978,0.812767010235022
"cc_yr_site",11,1047.15966772924,2.9473114855648,0.229086471297661,0.186193926361891,-511.932775041088,0.998960936596913
"cc",3,1058.24158792215,14.0292316784819,0.000898650971913222,0.000730393863686706,-526.064190187491,0.9996913304606
"cc_yr_site_yrxsite",18,1060.61193549483,16.399579251156,0.000274711356136334,0.000223276327604536,-510.569927138276,0.999914606788204
"cc_site",10,1062.53519279037,18.3228365467021,0.000105013854031741,8.53517961746351e-05,-520.731011029333,0.999999958584379
"sc_site",10,1078.73485213604,34.5224958923736,3.1881244518673e-08,2.59120237900136e-08,-528.830840702169,0.999999984496403
"sc_yr_site",11,1080.90419396649,36.6918377228142,1.07762751840969e-08,8.75860096284828e-09,-528.805038159713,0.999999993255004
"site",9,1083.72224632209,39.5098900784228,2.63351853409492e-09,2.14043698535485e-09,-532.424229957163,0.99999999539544
"r_yr_site",11,1084.2002116319,39.9878553882302,2.07370765509773e-09,1.68544117093526e-09,-530.453046992421,0.999999997080882
"r_site",10,1084.94593591329,40.7335796696225,1.42828725426292e-09,1.16086476140406e-09,-531.936382590793,0.999999998241746
"yr_site",10,1085.38795141031,41.1755951666364,1.14507284334919e-09,9.30677431390238e-10,-532.1573903393,0.999999999172424
"sc_yr_site_yrxsite",18,1085.78407361953,41.5717173758603,9.39325841435807e-10,7.63453055780277e-10,-523.155996200629,0.999999999935877
"yr_site_yrxsite",17,1091.27008080957,47.0577245658951,6.04706929113092e-11,4.91485842843649e-11,-527.089585859329,0.999999999985026
"r_yr_site_yrxsite",18,1093.64706591925,49.434709675581,1.84242232195293e-11,1.49746008220395e-11,-527.087492350489,1
"r_yr",4,1127.07656932754,82.8642130838707,1.01452967625704e-18,8.24576251766141e-19,-559.443497933913,1
"r",3,1131.20921445004,86.996858206365,1.28490869802773e-19,1.04433140092097e-19,-562.548003451433,1
"sc",3,1161.08292720531,116.870570961639,4.18675904503609e-26,3.40285963160842e-26,-577.48485982907,1
"sc_yr",4,1162.19940303771,117.987046794035,2.39573247895292e-26,1.9471723242415e-26,-577.004914788995,1
"yr",3,1165.02442443202,120.81206818835,5.8343532314979e-27,4.74196983261958e-27,-579.455608442426,1
