"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"site",9,1203.33699085867,0,1,0.270278800352569,-592.231602225453,0.270278800352569
"r_site",10,1203.82184073602,0.484849877343095,0.784722647692537,0.212093895827831,-591.374335002154,0.4823726961804
"yr_site",10,1204.68189198796,1.34490112929097,0.510456138056058,0.137965472626397,-591.804360628128,0.620338168806797
"cc_site",10,1205.17073590581,1.83374504713765,0.39976735100532,0.108048640049842,-592.048782587051,0.72838680885664
"sc_site",10,1205.21864357118,1.88165271250955,0.390305170939725,0.105491213372993,-592.072736419737,0.833878022229633
"r_yr_site",11,1206.02311067174,2.68611981306344,0.261045669893539,0.0705551104960584,-591.364496512339,0.904433132725692
"sc_yr_site",11,1206.74648612256,3.40949526388317,0.181818265508535,0.0491416226838319,-591.726184237748,0.953574755409524
"cc_yr_site",11,1206.89163238073,3.55464152205855,0.169090574975041,0.0457015977551802,-591.798757366836,0.999276353164704
"yr_site_yrxsite",17,1216.54931031269,13.2123194540186,0.00135201429659958,0.000365420802144458,-589.729200610891,0.999641773966848
"cc_yr_site_yrxsite",18,1218.58698448575,15.2499936270747,0.000488096798823163,0.000131922217241854,-589.557451633736,0.99977369618409
"sc_yr_site_yrxsite",18,1218.87605676091,15.5390659022364,0.000422410507100054,0.000114168605115323,-589.701987771317,0.999887864789205
"r_yr_site_yrxsite",18,1218.91199869326,15.5750078345868,0.000414887185319368,0.000112135210729773,-589.719958737493,0.999999999999935
"r_yr",4,1261.64172231259,58.3047314539131,2.18418002161711e-13,5.90337555996722e-14,-626.726074426435,0.999999999999994
"r",3,1266.25405171717,62.9170608585016,2.17637548742364e-14,5.88228155857601e-15,-630.070422085002,1
"cc_yr",4,1292.04479328209,88.7078024234202,5.46192148496605e-20,1.47624158657655e-20,-641.927609911188,1
"cc",3,1295.43569533731,92.098704478635,1.00235238308501e-20,2.70914599630756e-21,-644.661243895069,1
"sc",3,1359.68754907068,156.35055821201,1.11919990086528e-34,3.02496006560582e-35,-676.787170761756,1
"sc_yr",4,1361.75348403338,158.41649317471,3.98378219156673e-35,1.07673187160258e-35,-676.781955286834,1
"yr",3,1391.34322260314,188.006231744469,1.49611678376765e-41,4.04368649504065e-42,-692.615007527986,1
