"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_site",10,1157.27050808515,0,1,0.21070505160248,-568.098668676722,0.21070505160248
"r_site_log",10,1157.92094436072,0.650436275564743,0.7223697603166,0.15220695762358,-568.423886814504,0.362912009226061
"site",9,1158.82816138776,1.55765330260965,0.458944197078491,0.0967018607280822,-569.977187489997,0.459613869954143
"yr_site",10,1159.22089539197,1.9503873068204,0.377119316049797,0.0794609449485646,-569.073862330132,0.539074814902708
"cc_site_log",10,1159.34761950973,2.07711142457833,0.353965541037211,0.0745823275897454,-569.137224389011,0.613657142492453
"r_yr_site",11,1159.43562418207,2.16511609692088,0.338727933977254,0.0713716868078788,-568.070753267507,0.685028829300332
"r_yr_site_log",11,1159.93528742601,2.66477934085401,0.263846002360691,0.0555936855425176,-568.320584889473,0.740622514842849
"cc_site",10,1160.20155605523,2.93104797007913,0.230956941783707,0.0486637943364869,-569.564192661762,0.789286309179336
"sc_site",10,1160.41236858947,3.14186050432136,0.207851737866642,0.0437954111528559,-569.669598928883,0.833081720332192
"sc_site_log",10,1160.48939228861,3.21888420345863,0.199999162142712,0.042140833779733,-569.708110778451,0.875222554111925
"cc_yr_site_log",11,1160.88545178084,3.61494369569186,0.164068402804276,0.0345700412792115,-568.795667066892,0.909792595391137
"sc_yr_site",11,1161.10839966284,3.83789157768706,0.146761598320721,0.0309234101474301,-568.90714100789,0.940716005538567
"sc_yr_site_log",11,1161.2126818858,3.94217380064447,0.139305362857097,0.0293523436693068,-568.959282119368,0.970068349207874
"cc_yr_site",11,1161.3951909816,4.12468289645108,0.127155892126185,0.0267923888120073,-569.050536667272,0.996860738019881
"yr_site_yrxsite",17,1165.68345120863,8.41294312347827,0.0148988453586851,0.00313926198011912,-564.29627105886,1
"r_yr_log",4,1239.71670621679,82.4461981316358,1.25036137317705e-18,2.63457457657018e-19,-615.763566378536,1
"r_log",3,1245.43309819068,88.1625901055334,7.17359416398133e-20,1.51151252849694e-20,-619.659945321757,1
"r_power",3,1248.5578538045,91.2873457193461,1.5038507725227e-20,3.16868954626826e-21,-621.222323128664,1
"r_yr",4,1248.96983880512,91.699330719965,1.22389267925456e-20,2.57880370138229e-21,-620.3901326727,1
"r",3,1255.15683146627,97.8863233811144,5.54951399420244e-22,1.16931063251711e-22,-624.521811959548,1
"cc_yr_log",4,1268.70849077861,111.437982693459,6.33212560344936e-25,1.33421085202818e-25,-630.259458659447,1
"cc_power",3,1271.3339883034,114.063480218252,1.70384458067799e-25,3.59008660294362e-26,-632.610390378117,1
"cc_log",3,1272.48045133227,115.209943247116,9.60458697531233e-26,2.02373499425369e-26,-633.183621892549,1
"cc_yr",4,1280.56483765994,123.294329574793,1.68646179770473e-27,3.55346020110987e-28,-636.187632100115,1
"cc",3,1284.44265769853,127.172149613375,2.42615523651661e-28,5.1120316430586e-29,-639.164725075678,1
"sc_log",3,1353.06968423094,195.799176145787,3.03912889254509e-43,6.40359810130301e-44,-673.478238341884,1
"sc_power",3,1355.00694676097,197.73643867582,1.15366018867219e-43,2.43082029585901e-44,-674.446869606901,1
"sc_yr_log",4,1355.14400259711,197.873494511956,1.07725026419786e-43,2.26982072506596e-44,-673.477214568696,1
"sc",3,1355.61478872589,198.344280640736,8.51307972009168e-44,1.79374890171795e-44,-674.750790589359,1
"sc_yr",4,1357.66313747434,200.392629389188,3.0569857979311e-44,6.44122350301121e-45,-674.736782007312,1
"yr",3,1386.83899912684,229.568491041686,1.4120028095841e-50,2.97516124856265e-51,-690.362895789833,1
