"Year","Site","Percent_Coral_Cover","Rugosity","Coral_Richness","Sponge_Richness","Fish_Richness","Combined_Richness"
"1992","bigelow",11.28,45,8,NA,23,NA
"1992","crab",30.9266666666667,57,14,NA,30,NA
"1992","grand",12.4566666666667,74,8,NA,27,NA
"1992","iguana",35.34,63,12,NA,33,NA
"1992","monkey",2.96333333333333,34,4,NA,18,NA
"1992","muskN",32.97,70,10,NA,33,NA
"1992","pelican",6.93333333333333,22,6,NA,16,NA
"1992","white",20.9666666666667,54,10,NA,14,NA
"1993","bigelow",15.4666666666667,48,9,21,25,55
"1993","crab",19.43,54,13,NA,29,NA
"1993","grand",10.3133333333333,70,10,20,25,55
"1993","iguana",46.4366666666667,59,16,20,31,67
"1993","monkey",5.00666666666667,29,8,22,23,53
"1993","muskN",35.97,63,15,18,38,71
"1993","pelican",3.98,20,6,23,16,45
"1993","white",32.1166666666667,55,11,22,24,57
"1994","bigelow",15.0633333333333,46,12,24,20,56
"1994","crab",21.52,57,11,22,29,62
"1994","grand",21.7133333333333,75,14,20,23,57
"1994","iguana",60.8533333333333,60,15,18,32,65
"1994","monkey",4.49,30,8,27,14,49
"1994","muskN",51.64,65,17,23,32,72
"1994","pelican",9.11,25,11,23,15,49
"1994","white",26.5066666666667,58,13,21,20,54
"1995","bigelow",22.8366666666667,51,16,26,22,64
"1995","crab",33.3266666666667,49,18,14,28,60
"1995","grand",26.1466666666667,67,15,20,31,66
"1995","iguana",59.2266666666667,56,17,18,34,69
"1995","monkey",12.42,33,11,23,18,52
"1995","muskN",55.4333333333333,68,17,16,29,62
"1995","pelican",15.2133333333333,20,12,24,12,48
"1995","white",37.9366666666667,52,17,15,25,57
"1996","bigelow",17.7333333333333,47,13,NA,23,NA
"1996","crab",35.62,55,15,NA,27,NA
"1996","grand",31.09,58,14,NA,24,NA
"1996","iguana",52.0033333333333,58,18,NA,30,NA
"1996","monkey",9.96,34,12,NA,16,NA
"1996","muskN",46.25,62,17,NA,37,NA
"1996","pelican",21.5766666666667,28,12,NA,17,NA
"1996","white",31.7066666666667,51,16,NA,26,NA
"1997","bigelow",21.8433333333333,48,14,NA,23,NA
"1997","crab",33.05,55,17,NA,20,NA
"1997","grand",30.8033333333333,59,11,NA,25,NA
"1997","iguana",54.42,63,18,NA,29,NA
"1997","monkey",11.6,31,13,NA,17,NA
"1997","muskN",53.0766666666667,66,19,NA,28,NA
"1997","pelican",12.7533333333333,22,11,NA,11,NA
"1997","white",27.7833333333333,50,17,NA,21,NA
"1998","bigelow",14.3633333333333,44,15,NA,25,NA
"1998","crab",28.29,48,15,NA,23,NA
"1998","grand",21.77,74,13,NA,26,NA
"1998","iguana",52.3533333333333,66,19,NA,32,NA
"1998","monkey",5.41333333333333,30,7,NA,19,NA
"1998","muskN",41.54,64,19,NA,30,NA
"1998","pelican",11.07,29,9,NA,19,NA
"1998","white",16.8366666666667,60,14,NA,26,NA
"1999","bigelow",18.59,44,15,NA,21,NA
"1999","crab",28.0533333333333,52,13,NA,28,NA
"1999","grand",23.11,78,11,NA,32,NA
"1999","iguana",53.9133333333333,57,17,NA,32,NA
"1999","monkey",8.62666666666667,25,11,NA,20,NA
"1999","muskN",40.3566666666667,57,19,NA,30,NA
"1999","pelican",11.5766666666667,22,10,NA,18,NA
"1999","white",24.0833333333333,54,14,NA,25,NA
"2000","bigelow",19.2033333333333,49,15,29,23,67
"2000","crab",24.8966666666667,54,12,14,26,52
"2000","grand",30.7833333333333,75,13,24,35,72
"2000","iguana",61.7466666666667,61,17,18,24,59
"2000","monkey",6.91,26,10,30,18,58
"2000","muskN",44.4266666666667,59,17,8,30,55
"2000","pelican",13.06,30,10,18,13,41
"2000","white",29.1033333333333,58,15,21,26,62
"2001","bigelow",20.1933333333333,49,12,26,19,57
"2001","crab",21.6133333333333,47,16,16,27,59
"2001","grand",15.78,68,8,14,29,51
"2001","iguana",51.8333333333333,58,18,21,29,68
"2001","monkey",4.78333333333333,30,9,28,21,58
"2001","muskN",31.9133333333333,63,14,16,31,61
"2001","pelican",6.92,19,10,18,14,42
"2001","white",25.8033333333333,50,14,21,21,56
"2002","bigelow",21.7566666666667,45,11,26,23,60
"2002","crab",26.6233333333333,50,16,17,25,58
"2002","grand",23.9466666666667,76,10,22,24,56
"2002","iguana",47.88,63,18,20,31,69
"2002","monkey",8.80333333333333,33,11,27,21,59
"2002","muskN",33.9966666666667,58,16,16,35,67
"2002","pelican",10.2233333333333,19,10,19,14,43
"2002","white",41.6766666666667,48,17,24,20,61
"2003","bigelow",19.3933333333333,39,12,26,23,61
"2003","crab",40.28,55,16,17,25,58
"2003","grand",19.45,63,12,14,23,49
"2003","iguana",54.8733333333333,62,18,17,22,57
"2003","monkey",6.17,28,9,23,19,51
"2003","muskN",40.8366666666667,60,17,18,32,67
"2003","pelican",16.5266666666667,23,12,19,12,43
"2003","white",35.1733333333333,43,14,17,23,54
"2004","bigelow",9.47333333333333,52,10,NA,24,NA
"2004","crab",18.0466666666667,52,13,NA,29,NA
"2004","grand",16.41,70,10,NA,26,NA
"2004","iguana",40.0366666666667,65,14,NA,30,NA
"2004","monkey",5.01333333333333,28,6,NA,17,NA
"2004","muskN",30.58,61,17,NA,33,NA
"2004","pelican",8.06,25,10,NA,13,NA
"2004","white",23.7133333333333,36,14,NA,28,NA
"2005","bigelow",14.5966666666667,45,12,23,24,59
"2005","crab",18.08,26,12,15,27,54
"2005","grand",18.1466666666667,77,14,24,23,61
"2005","iguana",49.4933333333333,59,16,14,31,61
"2005","monkey",7.72666666666667,31,12,22,18,52
"2005","muskN",34.12,60,17,19,34,70
"2005","pelican",9.91666666666667,18,11,22,20,53
"2005","white",31.9533333333333,39,17,18,23,58
"2006","bigelow",13.93,49,13,21,22,56
"2006","crab",8.47333333333333,30,8,13,29,50
"2006","grand",13.2633333333333,63,11,29,28,68
"2006","iguana",40.8266666666667,49,16,16,24,56
"2006","monkey",6.11,33,8,28,24,60
"2006","muskN",32.0766666666667,65,15,17,30,62
"2006","pelican",7.69333333333333,26,7,22,14,43
"2006","white",14.2933333333333,37,7,16,18,41
"2007","bigelow",15.2133333333333,38,12,27,24,63
"2007","crab",17.41,27,12,14,19,45
"2007","grand",13.62,69,10,20,32,62
"2007","iguana",33.56,45,16,19,35,70
"2007","monkey",3.42,31,5,24,18,47
"2007","muskN",29.7533333333333,60,15,12,28,55
"2007","pelican",3.38333333333333,22,7,22,15,44
"2007","white",14.4133333333333,40,11,16,21,48
"2008","bigelow",15.5333333333333,48,14,23,26,63
"2008","crab",14.7766666666667,27,14,13,28,55
"2008","grand",13.5166666666667,75,8,21,28,57
"2008","iguana",30.5433333333333,47,18,17,30,65
"2008","monkey",5.53,29,10,29,19,58
"2008","muskN",29.62,60,15,19,27,61
"2008","pelican",7.43,30,9,20,19,48
"2008","white",15.31,38,12,20,26,58
"2009","bigelow",16.2666666666667,50,12,24,35,71
"2009","crab",13.0066666666667,34,12,15,27,54
"2009","grand",11.19,76,7,20,31,58
"2009","iguana",31.69,45,15,17,33,65
"2009","monkey",5.90333333333333,32,9,32,20,61
"2009","muskN",32.1533333333333,66,13,15,27,55
"2009","pelican",5.77,25,8,21,19,48
"2009","white",8.23666666666667,40,10,21,26,57
"2010","bigelow",20.5033333333333,35,14,25,20,59
"2010","crab",19.1533333333333,28,14,15,25,54
"2010","grand",14.7933333333333,60,13,22,25,60
"2010","iguana",37.2366666666667,50,17,17,32,66
"2010","monkey",9.00666666666667,28,11,31,16,58
"2010","muskN",37.6466666666667,55,16,18,32,66
