"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"r_yr_site",11,908.14490268203,0,1,0.411039009573859,-442.204030288383,0.411039009573859
"yr_site",10,909.112975962484,0.968073280454519,0.616290620470206,0.253319486247733,-443.837533732876,0.664358495821592
"cc_yr_site",11,909.336173655563,1.19127097353339,0.551212166505087,0.226569702985312,-442.79966577515,0.890928198806904
"sc_yr_site",11,911.263590486818,3.11868780478835,0.210273986211884,0.0864308110316801,-443.763374190778,0.977359009838584
"yr_site_yrxsite",17,915.472835951982,7.3279332699525,0.0256306434141106,0.0105351942836768,-438.640527565032,0.987894204122261
"r_yr_site_yrxsite",18,917.559012423147,9.41410974111761,0.009031336909136,0.0037122317782591,-438.420885521919,0.99160643590052
"sc_yr_site_yrxsite",18,917.656089271297,9.51118658926691,0.00860343880470602,0.00353634896521567,-438.469423945993,0.995142784865736
"cc_yr_site_yrxsite",18,917.967210440774,9.82230775874461,0.00736398627527677,0.00302688562510526,-438.624984530732,0.998169670490841
"site",9,920.497162348748,12.3522596667182,0.00207845628110892,0.000854326611229578,-450.664165589958,0.999023997102071
"cc_site",10,922.256350893552,14.1114482115217,0.000862458000117063,0.000354503882167169,-450.40922119841,0.999378500984238
"r_site",10,922.509700216377,14.3647975343474,0.000759842967933051,0.000312325100970863,-450.535895859823,0.999690826085209
"sc_site",10,922.529981590832,14.3850789088019,0.000752176574996628,0.000309173914411272,-450.54603654705,0.99999999999962
"sc_yr",4,964.592478112605,56.4475754305748,5.52795802699406e-13,2.2722063923815e-13,-478.17045289278,0.999999999999847
"cc_yr",4,966.271684523959,58.1267818419291,2.38742478200732e-13,9.81324717828375e-14,-479.010056098457,0.999999999999945
"cc",3,967.524299416319,59.3793967342887,1.27622671028555e-13,5.24578962987477e-14,-480.687149708159,0.999999999999998
"sc",3,973.91707281894,65.7721701369106,5.22101238436742e-15,2.14603975944324e-15,-483.88353640947,1
"r_yr",4,989.96316423214,81.8182615501099,1.71155257783045e-18,7.03514876425013e-19,-490.855795952548,1
"yr",3,990.796684565893,82.651781883863,1.12821950633774e-18,4.63742228466975e-19,-492.323342282946,1
"r",3,995.394149159533,87.2492464775036,1.13257469056613e-19,4.6553237907872e-20,-494.622074579767,1
