"True_Year","Site","Percent_Coral_Cover","Percent_Sponge_Cover","Rugosity","Coral_Richness","Sponge_Richness","Fish_Richness","Combined_Richness","Year"
1992,"bigelow",11.28,7.44666666666667,45,8,NA,23,NA,0
1992,"crab",31.41,3.53,57,14,NA,29,NA,0
1992,"grand",12.4566666666667,3.04666666666667,74,8,NA,27,NA,0
1992,"iguana",35.34,0.836666666666667,63,12,NA,37,NA,0
1992,"monkey",2.96333333333333,2.69,34,4,NA,17,NA,0
1992,"muskN",32.97,2.9,70,10,NA,35,NA,0
1992,"pelican",6.93333333333333,2.76,22,6,NA,16,NA,0
1992,"white",20.9666666666667,5.04,54,10,NA,17,NA,0
1993,"bigelow",20.6366666666667,9.79333333333333,48,13,21,28,62,1
1993,"crab",23.6133333333333,3.43333333333333,54,14,NA,28,NA,1
1993,"grand",10.3133333333333,7.79666666666667,70,10,20,25,55,1
1993,"iguana",39.4133333333333,5.03666666666667,59,16,20,27,63,1
1993,"monkey",5.00666666666667,5.97,29,8,22,23,53,1
1993,"muskN",34.1666666666667,4.57333333333333,63,16,18,36,70,1
1993,"pelican",5.21,7.74333333333333,20,8,23,16,47,1
1993,"white",38.2433333333333,8.05,55,10,22,27,59,1
1994,"bigelow",15.0633333333333,9.36666666666667,46,12,24,20,56,2
1994,"crab",21.52,3.73333333333333,57,11,22,29,62,2
1994,"grand",21.7133333333333,7.33,75,14,20,23,57,2
1994,"iguana",60.8533333333333,2.31333333333333,60,15,18,32,65,2
1994,"monkey",4.49,10.43,30,8,27,14,49,2
1994,"muskN",51.64,8.58333333333333,65,17,23,32,72,2
1994,"pelican",9.11,7.01,25,11,23,15,49,2
1994,"white",26.5066666666667,10.9633333333333,58,13,21,20,54,2
1995,"bigelow",22.8366666666667,15.03,51,16,26,22,64,3
1995,"crab",33.3266666666667,3.36,49,18,18,28,64,3
1995,"grand",26.1466666666667,11.12,67,15,20,31,66,3
1995,"iguana",59.2266666666667,6.29333333333333,56,17,21,34,72,3
1995,"monkey",12.42,20.51,33,11,23,18,52,3
1995,"muskN",55.4333333333333,4.71,68,17,18,29,64,3
1995,"pelican",15.2133333333333,9.81666666666667,20,12,24,12,48,3
1995,"white",37.9366666666667,8.37333333333333,52,17,15,25,57,3
1996,"bigelow",17.7333333333333,8.99666666666667,47,13,NA,23,NA,4
1996,"crab",35.62,2.27666666666667,55,15,NA,27,NA,4
1996,"grand",31.09,3.35666666666667,58,14,NA,24,NA,4
1996,"iguana",52.0033333333333,2.02,58,18,NA,30,NA,4
1996,"monkey",9.96,9.39666666666667,34,12,NA,16,NA,4
1996,"muskN",46.25,3.02333333333333,62,17,NA,37,NA,4
1996,"pelican",21.5766666666667,7.06,28,12,NA,17,NA,4
1996,"white",31.7066666666667,2.67666666666667,51,16,NA,26,NA,4
1997,"bigelow",21.8433333333333,18.0133333333333,48,14,NA,23,NA,5
1997,"crab",33.05,3.41666666666667,55,17,NA,20,NA,5
1997,"grand",30.8033333333333,11.4266666666667,59,11,NA,25,NA,5
1997,"iguana",54.42,3.41,63,18,NA,29,NA,5
1997,"monkey",11.6,13.28,31,13,NA,17,NA,5
1997,"muskN",53.0766666666667,4.02,66,19,NA,28,NA,5
1997,"pelican",12.7533333333333,7.92666666666667,22,11,NA,11,NA,5
1997,"white",27.7833333333333,9.23333333333333,50,17,NA,21,NA,5
1998,"bigelow",14.3633333333333,13.82,44,15,NA,25,NA,6
1998,"crab",21.7533333333333,0.283333333333333,48,14,NA,23,NA,6
1998,"grand",21.77,8.25,74,13,NA,26,NA,6
1998,"iguana",52.3533333333333,1.68,66,19,NA,32,NA,6
1998,"monkey",5.41333333333333,11.9833333333333,30,7,NA,19,NA,6
1998,"muskN",41.54,4.5,64,19,NA,30,NA,6
1998,"pelican",11.07,14.2066666666667,29,9,NA,19,NA,6
1998,"white",16.8366666666667,6.62666666666667,60,14,NA,26,NA,6
1999,"bigelow",18.59,12.01,44,15,NA,21,NA,7
1999,"crab",28.0533333333333,1.98666666666667,52,13,NA,28,NA,7
1999,"grand",23.11,5.92666666666667,78,11,NA,32,NA,7
1999,"iguana",52.2566666666667,2.41666666666667,57,16,NA,32,NA,7
1999,"monkey",8.62666666666667,14.48,25,11,NA,20,NA,7
1999,"muskN",40.3566666666667,3.64,57,19,NA,30,NA,7
1999,"pelican",11.5766666666667,7.09,22,10,NA,18,NA,7
1999,"white",24.0833333333333,11.4933333333333,54,14,NA,25,NA,7
2000,"bigelow",19.2033333333333,21.72,49,15,29,23,67,8
2000,"crab",24.8966666666667,2.48,54,12,14,26,52,8
2000,"grand",30.7833333333333,6.93,75,13,24,35,72,8
2000,"iguana",61.7466666666667,3.93,61,17,18,24,59,8
2000,"monkey",6.91,14.1133333333333,26,10,30,18,58,8
2000,"muskN",44.4266666666667,2.94,59,17,8,30,55,8
2000,"pelican",13.06,8.59333333333333,30,10,18,13,41,8
2000,"white",29.1033333333333,8.10666666666667,58,15,21,26,62,8
2001,"bigelow",20.1933333333333,8.84333333333333,49,12,26,19,57,9
2001,"crab",16.5733333333333,2.18666666666667,47,13,16,27,56,9
2001,"grand",15.78,3.99,68,8,14,29,51,9
2001,"iguana",47.4066666666667,4.66,58,16,19,24,59,9
2001,"monkey",4.78333333333333,6.2,30,9,28,21,58,9
2001,"muskN",31.9133333333333,4.13333333333333,63,14,16,31,61,9
2001,"pelican",6.92,5.42666666666667,19,10,18,14,42,9
2001,"white",35.4866666666667,11.0566666666667,50,16,21,21,58,9
2002,"bigelow",21.7566666666667,16.5133333333333,45,11,26,23,60,10
2002,"crab",26.6233333333333,6.29,50,16,17,25,58,10
2002,"grand",23.9466666666667,7.47,76,10,22,24,56,10
2002,"iguana",47.88,4.06333333333333,63,18,20,30,68,10
2002,"monkey",8.80333333333333,18.3666666666667,33,11,26,22,59,10
2002,"muskN",33.9966666666667,4.99,58,16,16,35,67,10
2002,"pelican",10.2233333333333,10.2633333333333,19,10,19,14,43,10
2002,"white",41.6766666666667,17.78,48,17,24,20,61,10
2003,"bigelow",19.3933333333333,18.5466666666667,39,12,26,23,61,11
2003,"crab",29.3266666666667,6.15,55,17,15,28,60,11
2003,"grand",19.45,6.73333333333333,63,12,14,23,49,11
2003,"iguana",50.77,2.82666666666667,62,18,14,22,54,11
2003,"monkey",6.17,27.7666666666667,28,9,23,19,51,11
2003,"muskN",40.8366666666667,8.39666666666667,60,17,18,32,67,11
2003,"pelican",16.5266666666667,12.3933333333333,23,12,19,12,43,11
2003,"white",35.1733333333333,16.81,43,14,17,23,54,11
2004,"bigelow",14.59,11.67,52,14,NA,20,NA,12
2004,"crab",14.4066666666667,5.16,52,13,NA,26,NA,12
2004,"grand",15.71,6.07333333333333,70,9,NA,26,NA,12
2004,"iguana",48.6066666666667,5.00333333333333,65,17,NA,26,NA,12
2004,"monkey",4.92666666666667,10.6133333333333,28,5,NA,16,NA,12
2004,"muskN",38.39,5.55666666666667,61,14,NA,35,NA,12
2004,"pelican",8.08,7.52666666666667,25,9,NA,13,NA,12
2004,"white",25.3966666666667,11.53,36,15,NA,24,NA,12
2005,"bigelow",14.5966666666667,21.0833333333333,45,12,22,24,58,13
2005,"crab",16.92,3.99,26,13,15,32,60,13
2005,"grand",18.1466666666667,9.32333333333333,77,14,24,23,61,13
2005,"iguana",49.71,3.87333333333333,59,15,14,29,58,13
2005,"monkey",7.72666666666667,22.6533333333333,31,12,24,18,54,13
2005,"muskN",31.18,7.42666666666667,60,16,19,34,69,13
2005,"pelican",9.91666666666667,10.7433333333333,18,11,22,20,53,13
2005,"white",31.9533333333333,17.2333333333333,39,17,17,19,53,13
2006,"bigelow",12.29,13.35,49,11,21,22,54,14
2006,"crab",9.95333333333333,4.97333333333333,30,8,13,29,50,14
2006,"grand",16.62,7.19333333333333,63,11,27,28,66,14
2006,"iguana",36.3433333333333,2.77666666666667,49,16,17,26,59,14
2006,"monkey",6.11,22.46,33,8,26,24,58,14
2006,"muskN",31.1733333333333,2.84666666666667,65,13,17,30,60,14
2006,"pelican",7.69333333333333,12.63,26,7,22,14,43,14
2006,"white",12.7433333333333,9.67666666666667,37,7,16,18,41,14
2007,"bigelow",15.2133333333333,9.29666666666667,38,12,27,24,63,15
2007,"crab",17.41,3.32666666666667,27,12,14,19,45,15
2007,"grand",13.62,3.9,69,10,20,32,62,15
2007,"iguana",33.56,3.42333333333333,45,16,19,35,70,15
2007,"monkey",3.42,7.48666666666667,31,5,24,18,47,15
2007,"muskN",29.7533333333333,2.44333333333333,60,15,12,28,55,15
2007,"pelican",3.38333333333333,4.34333333333333,22,7,22,15,44,15
2007,"white",14.4133333333333,5.44666666666667,40,11,16,21,48,15
2008,"bigelow",15.5333333333333,9.67333333333333,48,14,23,26,63,16
2008,"crab",14.7766666666667,2.01,27,14,13,28,55,16
2008,"grand",13.5166666666667,0.633333333333333,75,8,21,27,56,16
2008,"iguana",30.5433333333333,1.27666666666667,47,18,17,30,65,16
2008,"monkey",5.53,8.34333333333333,29,10,29,19,58,16
2008,"muskN",29.62,1.55,60,15,19,27,61,16
2008,"pelican",7.43,7.57,30,9,20,19,48,16
2008,"white",15.31,8.64666666666667,38,12,20,26,58,16
2009,"bigelow",19.96,6.57333333333333,50,12,24,35,71,17
2009,"crab",8.75,2.44666666666667,34,10,15,27,52,17
2009,"grand",10.2933333333333,7.35,76,7,20,31,58,17
2009,"iguana",34.3533333333333,1.55,45,15,17,29,61,17
2009,"monkey",7.01333333333333,10.5766666666667,32,9,32,20,61,17
2009,"muskN",37.6833333333333,1.79,66,13,15,27,55,17
2009,"pelican",5.54,15.5866666666667,25,8,21,19,48,17
2009,"white",10.3266666666667,4.89666666666667,40,8,21,26,55,17
2010,"bigelow",20.5033333333333,12.3866666666667,35,14,25,20,59,18
2010,"crab",20.4966666666667,5.33666666666667,28,15,15,24,54,18
2010,"grand",14.7933333333333,1.62666666666667,60,13,22,25,60,18
2010,"iguana",37.2366666666667,2.8,50,17,17,32,66,18
2010,"monkey",9.00666666666667,8.27666666666667,28,11,31,16,58,18
2010,"muskN",36.9466666666667,5.70333333333333,55,17,18,34,69,18
2010,"pelican",7.29666666666667,3.87333333333333,24,8,23,15,46,18
2010,"white",21.3733333333333,10.8766666666667,36,11,20,24,55,18
2011,"bigelow",13.9133333333333,7.93,43,15,29,26,70,19
2011,"crab",11.61,3.9,30,10,23,23,56,19
2011,"grand",12.5366666666667,1.91333333333333,67,12,28,25,65,19
2011,"iguana",39.0766666666667,2.27666666666667,47,17,23,30,70,19
2011,"monkey",4.54,8.15666666666667,26,8,24,21,53,19
2011,"muskN",34.81,9.15333333333333,56,16,21,33,70,19
2011,"pelican",6.55333333333333,4.45333333333333,28,11,32,16,59,19
2011,"white",6.52333333333333,6.67333333333333,37,8,17,28,53,19
2012,"bigelow",8.55,12.6833333333333,40,10,28,17,55,20
2012,"crab",8.07,4.00666666666667,33,9,24,29,62,20
2012,"grand",9.91333333333333,3.44666666666667,63,8,31,29,68,20
2012,"iguana",33.15,5.59666666666667,48,12,26,33,71,20
2012,"monkey",5.02333333333333,16.1033333333333,28,8,30,21,59,20
2012,"muskN",27.0233333333333,7.21333333333333,50,15,23,29,67,20
2012,"pelican",9.31333333333333,8.98666666666667,24,10,27,17,54,20
2012,"white",7.71666666666667,11.9366666666667,31,9,24,22,55,20
2013,"bigelow",16.8566666666667,16.02,41,12,25,22,59,21
2013,"crab",11.3966666666667,3.79666666666667,35,10,23,29,62,21
2013,"grand",12.4233333333333,3.68,70,10,27,31,68,21
2013,"iguana",34.0133333333333,3.47,52,15,23,33,71,21
2013,"monkey",6.98,13.16,32,6,27,21,54,21
2013,"muskN",25.14,6.56666666666667,50,13,20,25,58,21
2013,"pelican",7.71,4.77,20,8,27,15,50,21
2013,"white",7.45666666666667,12.9266666666667,25,11,20,23,54,21
2014,"bigelow",13.4066666666667,16.13,39,10,30,22,62,22
2014,"crab",14.7766666666667,2.29666666666667,44,15,20,17,52,22
2014,"grand",14.3733333333333,4.94333333333333,63,13,28,28,69,22
2014,"iguana",31.43,6.92333333333333,60,19,19,34,72,22
2014,"monkey",6.75,17.03,31,11,29,17,57,22
2014,"muskN",34.82,6.39666666666667,52,16,17,29,62,22
2014,"pelican",8.77,6.63333333333333,23,12,NA,12,NA,22
2014,"white",8.52666666666667,12.1733333333333,31,8,15,22,45,22
2015,"bigelow",18.0966666666667,19.64,37,14,29,22,65,23
2015,"crab",9.83,4.57333333333333,35,10,20,21,51,23
2015,"grand",15.9266666666667,5.37333333333333,65,16,33,24,73,23
2015,"iguana",35.8433333333333,5.17,49,14,22,28,64,23
2015,"monkey",5.47666666666667,11.2166666666667,33,9,36,15,60,23
2015,"muskN",32.45,10.2633333333333,55,15,20,25,60,23
2015,"pelican",7.05666666666667,8.02666666666667,29,10,30,9,49,23
2015,"white",3.98333333333333,5.36,23,9,17,14,40,23
2016,"bigelow",15.3766666666667,17.81,36,13,28,19,60,24
2016,"crab",14.3866666666667,5.85333333333333,37,13,22,24,59,24
2016,"grand",14.13,6.81666666666667,60,14,25,24,63,24
2016,"iguana",28.1866666666667,8.81333333333333,54,18,20,23,61,24
2016,"monkey",6.15333333333333,12.1566666666667,30,11,29,22,62,24
2016,"muskN",26.4366666666667,11.5833333333333,57,14,20,26,60,24
2016,"pelican",6.90333333333333,5.87333333333333,17,9,27,14,50,24
2016,"white",10.52,13.08,22,12,18,22,52,24
2017,"bigelow",16.0033333333333,13.66,38,18,NA,23,NA,25
2017,"crab",16.6966666666667,8.95333333333333,33,18,21,26,65,25
2017,"grand",12.3633333333333,5.21,62,16,29,21,66,25
2017,"iguana",39.9,6.54666666666667,50,20,21,28,69,25
2017,"monkey",8.19666666666667,15.8533333333333,29,14,33,20,67,25
2017,"muskN",38.8366666666667,9.51,45,22,20,29,71,25
2017,"pelican",7.74,4.35666666666667,17,14,NA,17,NA,25
2017,"white",2.67666666666667,9.64,19,11,13,15,39,25
2018,"bigelow",18.4133333333333,14.5533333333333,40,21,26,28,75,26
2018,"crab",18.72,5.15,36,19,20,25,64,26
2018,"grand",15.4466666666667,11.04,59,15,31,27,73,26
2018,"iguana",40.49,6.62666666666667,48,21,19,29,69,26
2018,"monkey",7.89,14.3366666666667,26,17,29,26,72,26
2018,"muskN",38.0133333333333,10.7433333333333,49,19,19,36,74,26
2018,"pelican",9.33,6.05,24,18,24,24,66,26
2018,"white",3.1,8.16333333333333,20,12,17,26,55,26
